LAMBX,LAMBY,n_observations,MAE_baseline,MAE_advanced,MAE_gain,MAE_gain_percent,RMSE_baseline,RMSE_advanced,RMSE_gain,R2_baseline,R2_advanced,R2_gain,Bias_baseline,Bias_advanced,Bias_abs_gain,advanced_better_MAE
600,24010,312,0.9622987285638467,0.9318189104398092,0.03047981812403744,3.1673966949458734,1.187050963301534,1.1546683371664015,0.03238262613513254,0.8896880309977612,0.8956245355919145,0.005936504594153291,0.309084295309507,0.2151890525451074,0.09389524276439959,True
760,23610,312,1.025724328786899,1.0814485339018016,-0.055724205114902725,-5.432668754265241,1.2593744141017498,1.3252567580372474,-0.06588234393549763,0.8886738134301455,0.8767214106189781,-0.011952402811167384,0.2381654357298828,0.29658624667387745,-0.05842081094399465,False
760,23930,312,1.0412562232751112,1.0932406239020518,-0.05198440062694054,-4.992469621303353,1.2814152374011287,1.3401598381699094,-0.05874460076878063,0.8859729835069211,0.87527853855375,-0.010694444953171067,0.2938920507064232,0.3198158071591304,-0.02592375645270717,False
760,24010,312,0.9209785895469861,0.9463665234736905,-0.025387933926704465,-2.7566258558944745,1.1277167101363756,1.1623398188712817,-0.03462310873490604,0.8996381493912631,0.893380937068772,-0.006257212322491101,0.22029645993159364,0.22388218671847612,-0.003585726786882487,False
760,24090,312,0.9392940457050617,0.9445092240969342,-0.005215178391872466,-0.5552231929627319,1.1452035561697436,1.1679712422521331,-0.02276768608238955,0.8968924684056494,0.8927519724867765,-0.0041404959188728885,0.23747823941401947,0.24493233821330926,-0.007454098799289793,False
760,24170,312,0.9413112609814375,0.9407479032492025,0.0005633577322349259,0.05984818790413209,1.1678092972377152,1.1673208714445495,0.0004884257931656588,0.8929081062944205,0.8929976680146388,8.956172021823416e-05,0.2687512654524583,0.25841377667891674,0.01033748877354157,True
840,23530,312,1.0443398821048249,1.0891303649315467,-0.04479048282672182,-4.288879855516808,1.2867809766321285,1.337684103287309,-0.050903126655180486,0.8852454129524315,0.8759867974555787,-0.009258615496852807,0.24707241577979844,0.27256802901243554,-0.025495613232637104,False
840,23610,312,1.025988945288536,1.0670558914160118,-0.041066946127475745,-4.002669455266558,1.2644517102777364,1.3071575291383755,-0.042705818860639067,0.886730292032949,0.8789499029548187,-0.007780389078130279,0.22959015094316926,0.2811356608684247,-0.05154550992525542,False
840,23850,312,1.0363242054596926,1.0829776494930952,-0.04665344403340255,-4.501819390844781,1.2749057128070758,1.3247236990324822,-0.04981798622540645,0.8871285438916776,0.8781351088229864,-0.008993435068691213,0.28411990281863087,0.2740463403555063,0.010073562463124575,False
840,23930,312,1.0298624402437453,1.0841258669510865,-0.05426342670734119,-5.268997546361459,1.2706404822883461,1.3330251487712015,-0.062384666482855344,0.8872302880464499,0.875885140101281,-0.011345147945168832,0.2699854768239535,0.30277760181671537,-0.03279212499276185,False
840,24010,312,0.9908184858468864,1.0337864695451198,-0.0429679836982334,-4.336615062395329,1.1961672260218272,1.2653645288833786,-0.06919730286155135,0.8989085151811822,0.8868740889977125,-0.012034426183469726,0.17387855297479882,0.2629652766081004,-0.08908672363330156,False
840,24090,312,0.9158523143866123,0.9470360838449917,-0.031183769458379418,-3.4048906104762753,1.113448313983695,1.1575293077139992,-0.04408099373030416,0.9017729026418175,0.8938414010124462,-0.007931501629371285,0.15676835439144043,0.22100909581551192,-0.06424074142407149,False
840,24170,312,0.9191786139439313,0.9435726177998077,-0.024394003855876423,-2.65389158165993,1.124761109975585,1.1588436427889734,-0.034082532813388466,0.9003500047037379,0.8942193126925396,-0.006130692011198313,0.20960318950506354,0.23507223129272456,-0.025469041787661018,False
920,23530,312,1.0234163865064965,1.0943628295873986,-0.07094644308090214,-6.932314551175284,1.2537900530596593,1.338722792632001,-0.0849327395723416,0.8901125530203107,0.8747205729199354,-0.015391980100375235,0.21885708356514955,0.32285555050923276,-0.10399846694408321,False
920,23610,312,1.0312587997852227,1.0638911030231377,-0.032632303237914995,-3.1643175548864386,1.2661417839720908,1.3024886867254515,-0.03634690275336072,0.8859260831022489,0.8792826783821633,-0.006643404720085511,0.22209097146987908,0.26527267205409505,-0.04318170058421597,False
920,23770,312,1.0350309873238588,1.0841922096717052,-0.04916122234784637,-4.749734350944986,1.275190690201344,1.3359255055455272,-0.060734815344183346,0.8868425907630048,0.8758069731723149,-0.011035617590689828,0.27741329180888635,0.3066275349030128,-0.029214243094126457,False
920,23850,312,1.0333347274706914,1.0733024456562141,-0.039967718185522694,-3.867838477020148,1.2766387868924622,1.321407702034529,-0.04476891514206671,0.885280419134903,0.8770934157487666,-0.008187003386136316,0.25862017503151524,0.2940128552608001,-0.03539268022928488,False
920,23930,312,1.0365877768932243,1.0782283666806343,-0.04164058978740992,-4.017082847746061,1.279828673617065,1.3209464643412259,-0.041117790724160885,0.8860950025674241,0.8786584494679598,-0.007436553099464338,0.2878595113754272,0.26877294259193607,0.01908656878349113,False
920,24010,312,0.9986981725081421,1.0379185863030262,-0.03922041379488417,-3.927153856343361,1.2028231179841178,1.2693993505846304,-0.0665762326005126,0.898028184945668,0.8864275066999436,-0.011600678245724416,0.19184907185725672,0.27340016517883686,-0.08155109332158014,False
920,24090,312,0.9973607787719141,1.0302235826467858,-0.03286280387487173,-3.2949765595692333,1.2024473997441194,1.2638464061182726,-0.06139900637415319,0.8976035992453512,0.886879553163968,-0.01072404608138311,0.14429234877610825,0.2685245675918384,-0.12423221881573016,False
920,24170,312,0.9303310220058147,0.9482489980184116,-0.017917976012596815,-1.9259785591117078,1.1337890989706756,1.163770738685221,-0.02998163971454537,0.898670964553726,0.893241067867163,-0.005429896686563018,0.21600662225332015,0.24305139229847833,-0.02704477004515818,False
920,24250,312,0.9484927125466175,0.942558524547479,0.005934187999138474,0.6256440266373491,1.1707453733029372,1.168455090478507,0.002290282824430223,0.8925985837299762,0.8930183829869474,0.00041979925697110954,0.26401522067876965,0.2562818435522226,0.007733377126547036,True
