year,MAE_baseline,RMSE_baseline,R2_baseline,Bias_baseline,MAE_advanced,RMSE_advanced,R2_advanced,Bias_advanced,MAE_gain,MAE_gain_percent,RMSE_gain,R2_gain,Bias_abs_gain,advanced_better_MAE
2000,1.1337875648834157,1.4199620130346209,0.9408215508054864,0.2324999874636569,1.1423639797547869,1.421428299144879,0.94069926959097,0.2699588078931847,-0.008576414871371174,-0.7564393134134492,-0.0014662861102581193,-0.00012228121451629548,-0.037458820429527806,False
2001,1.3474250638619163,1.7540970479935027,0.9246790812841928,-0.3997172082567632,1.4613948621156927,1.8811774190504735,0.913370085201611,-0.3515108347261045,-0.1139697982537764,-8.458340379028009,-0.1270803710569708,-0.011308996082581846,0.04820637353065871,False
2002,1.4458811398445317,1.7750400286843304,0.8893075615475717,0.6058375627426853,1.1947877017635424,1.428512985571185,0.9283081087377716,0.3338802923973162,0.2510934380809893,17.3661189126506,0.3465270431131455,0.03900054719019985,0.2719572703453691,True
2003,1.961841145619264,2.38717181900834,0.8953824860668913,0.240285166430915,1.890051663772436,2.374767928959839,0.8964668594318463,0.463179997183779,0.07178948184682787,3.659291273767592,0.012403890048501065,0.001084373364955038,-0.222894830752864,True
2004,1.0674631107868149,1.3145325243513208,0.9574126525924656,-0.28711772143961,1.1727187385587698,1.4037350539050777,0.9514366979328018,-0.3861999055143384,-0.10525562777195496,-9.860352709928518,-0.08920252955375685,-0.005975954659663718,-0.09908218407472841,False
2005,1.3598876293824418,1.7092340448587882,0.9401088019514736,-0.0081783620876789,1.3320956945853082,1.6715726523349044,0.9427190191415395,-0.2240675578416063,0.0277919347971336,2.0436934785379726,0.037661392523883785,0.0026102171900659332,-0.2158891957539274,True
2006,1.7369113061650725,2.063956108105703,0.9138453135409362,0.568269946743838,1.6000113996332503,1.871805704415339,0.9291402649033008,0.4863527465263184,0.13689990653182216,7.881801796436201,0.1921504036903643,0.015294951362364584,0.08191720021751964,True
2007,1.5729828103127392,1.8936501944158792,0.8854442472212394,-0.2475252289384308,1.625404383665192,1.976527531637612,0.8751975456413766,-0.1570418880573987,-0.05242157335245268,-3.3326221373029665,-0.08287733722173285,-0.010246701579862738,0.0904833408810321,False
2008,1.2494907772586372,1.5269605061545033,0.9320040719594906,-0.1050181560502641,1.285528154898637,1.5726600525163137,0.927873143074963,-0.3780935233597219,-0.03603737763999981,-2.884165157190295,-0.045699546361810395,-0.004130928884527596,-0.2730753673094578,False
2009,1.1355703489020408,1.4555729114434472,0.953070250778073,0.5193698548761457,1.3032685000904578,1.6302133886279302,0.9411333643983611,0.2207316885163092,-0.16769815118841702,-14.767746564584119,-0.17464047718448295,-0.011936886379711797,0.29863816635983653,False
2010,1.4811352348813465,1.7399095928362884,0.9371592588877128,-0.7222869549453736,1.304684828685304,1.6145035206886384,0.9458914462547616,-0.6655453581496006,0.17645040619604235,11.9131867260033,0.12540607214764998,0.008732187367048838,0.056741596795773064,True
2011,1.790104236734246,2.2160101213486096,0.8499181583980557,1.1397111540964675,1.5583080552011677,1.828262255028852,0.897844522696029,0.9286594361682288,0.23179618153307824,12.948753305894225,0.38774786631975755,0.047926364297973256,0.21105171792823874,True
2012,1.5222825134723834,2.2774713446617545,0.876260922410491,-0.1866092141003422,1.4292965969342168,2.0019540433134746,0.9043886965644192,-0.0648415978385404,0.09298591653816657,6.108321925479011,0.2755173013482799,0.028127774153928198,0.1217676162618018,True
2013,1.3864598366983942,1.8694825572826077,0.9225086936614164,-0.3496411280934632,1.707708272625192,2.153058449264085,0.8972168822837775,-0.6963745794801106,-0.32124843592679775,-23.170410524966474,-0.2835758919814775,-0.025291811377638918,-0.3467334513866474,False
2014,1.5393150490805083,1.8315745796263336,0.8886274555990982,0.6574913721436817,1.5136752958048052,1.743885976602082,0.899036337225931,0.7958777258376963,0.025639753275703114,1.6656598849610884,0.08768860302425163,0.010408881626832844,-0.13838635369401464,True
