metric,baseline,advanced,improvement_absolute,improvement_percent
MAE,1.4226543846582962,1.3766443463880491,0.04601003827024708,3.234098089206544
RMSE,1.799813102950451,1.719502993993558,0.08031010895689294,4.462136030971205
R2,0.9200597394229058,0.927034659445282,0.0069749200223762076,0.7580942544829888
Bias,0.1714176092700704,0.1368075002621051,0.03461010900796532,20.190521356202503
