MONTH,T,PRELIQ,PRENEI,FF,HU,SSI
1960-01-01,7.396774193548388,98.89999999999999,5.5,5.145161290322581,84.36774193548388,289.9225806451613
1960-02-01,6.9896551724137925,93.4,0.0,5.017241379310345,80.0758620689655,582.2896551724139
1960-03-01,10.212903225806452,100.4,0.0,4.632258064516129,84.90322580645162,673.4677419354839
1960-04-01,9.94,43.6,0.0,4.88,82.22333333333333,1448.48
1960-05-01,13.703225806451613,51.6,0.0,2.9967741935483874,80.24838709677418,1578.0193548387097
1960-06-01,16.446666666666665,43.0,0.0,3.8866666666666663,80.94666666666667,1972.6
1960-07-01,15.464516129032257,65.9,0.0,4.793548387096774,85.75161290322582,1351.4451612903224
1960-08-01,15.67741935483871,119.3,0.0,4.061290322580645,85.55806451612904,1185.1129032258063
1960-09-01,14.67,102.8,0.0,3.7633333333333336,85.61666666666666,1057.3466666666668
1960-10-01,12.100000000000001,162.4,0.0,4.303225806451613,85.49354838709678,607.3806451612903
1960-11-01,10.146666666666667,161.5,0.0,5.496666666666667,84.24333333333334,334.27666666666664
1960-12-01,6.619354838709677,133.0,0.1,4.287096774193548,85.23870967741935,256.9
1961-01-01,7.364516129032259,168.3,0.0,5.27741935483871,86.49354838709678,231.58709677419355
1961-02-01,9.639285714285714,62.800000000000004,0.0,5.439285714285715,88.35714285714286,461.15714285714284
1961-03-01,9.538709677419355,15.100000000000001,0.0,3.02258064516129,81.65483870967742,1151.6741935483872
1961-04-01,11.566666666666666,76.0,0.0,4.79,87.22666666666667,1160.9733333333331
1961-05-01,12.53225806451613,39.5,0.0,4.367741935483871,81.06774193548387,1845.216129032258
1961-06-01,15.186666666666667,24.9,0.0,3.29,84.52333333333333,1837.0533333333333
1961-07-01,16.18064516129032,69.0,0.0,4.203225806451614,84.90967741935484,1764.9290322580646
1961-08-01,16.57741935483871,19.9,0.0,4.038709677419355,83.05483870967741,1401.8387096774193
1961-09-01,16.71,55.7,0.0,3.7800000000000002,83.30666666666666,1060.38
1961-10-01,12.641935483870967,100.9,0.0,4.793548387096774,85.45161290322581,642.925806451613
1961-11-01,8.8,70.7,0.0,4.37,83.4,348.32666666666665
1961-12-01,6.870967741935484,142.5,0.0,4.906451612903226,86.42258064516129,270.3225806451613
1962-01-01,7.83225806451613,110.2,0.0,5.448387096774193,85.38387096774194,285.72258064516126
1962-02-01,6.675,27.2,2.0999999999999996,5.292857142857143,80.25357142857142,654.2642857142857
1962-03-01,5.474193548387096,76.7,1.2999999999999998,4.335483870967742,77.80645161290323,914.6967741935483
1962-04-01,9.153333333333334,57.1,0.0,5.13,81.59666666666666,1424.3466666666668
1962-05-01,11.158064516129032,43.199999999999996,0.0,4.82258064516129,82.5741935483871,1513.225806451613
1962-06-01,14.533333333333333,7.0,0.0,4.12,79.46666666666667,2135.726666666667
1962-07-01,16.025806451612905,33.2,0.0,3.4935483870967743,83.43870967741935,1527.3967741935483
1962-08-01,16.18064516129032,74.7,0.0,4.138709677419355,85.41612903225807,1418.2096774193549
1962-09-01,14.753333333333334,102.5,0.0,4.323333333333333,82.77666666666667,1152.9766666666667
1962-10-01,13.16451612903226,62.900000000000006,0.0,3.3193548387096774,84.94516129032259,836.3096774193548
1962-11-01,8.433333333333334,102.8,0.0,3.9266666666666667,86.53999999999999,366.56
1962-12-01,6.054838709677419,110.4,3.0,4.735483870967743,84.43548387096774,298.85161290322577
1963-01-01,1.5161290322580645,46.1,2.2,4.429032258064517,77.71935483870968,448.8225806451613
1963-02-01,3.357142857142857,83.6,9.8,4.803571428571429,83.46785714285714,573.5178571428571
1963-03-01,8.616129032258065,103.4,0.0,5.990322580645161,84.90967741935484,809.9322580645162
1963-04-01,9.206666666666667,88.1,0.0,4.306666666666667,88.37666666666668,1180.4333333333334
1963-05-01,11.083870967741936,46.8,0.0,4.670967741935484,84.44516129032259,1674.0580645161292
1963-06-01,14.65,69.2,0.0,3.9133333333333336,88.86,1498.9566666666665
1963-07-01,15.958064516129031,28.5,0.0,3.2,86.17096774193548,1816.5290322580645
1963-08-01,15.096774193548388,96.2,0.0,4.077419354838709,87.4,1301.7645161290322
