LAMBX,LAMBY,model,order,seasonal_order,train_n,test_n,rmse,mae,bias,aic,bic,model_file,elapsed_seconds
3480,21370,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2292070779525415,1.0072322816745263,-0.14231411753948295,1521.8532114555746,1541.8726467911074,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_21370.pkl,0.458
3480,21530,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2282107204494566,1.0061571378993415,-0.13881472686923899,1520.939013407975,1540.9584487435077,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_21530.pkl,0.41
3480,21770,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2705439094872482,1.0455676389361577,-0.2565550146562024,1522.0262541806362,1542.045689516169,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_21770.pkl,0.429
3480,21930,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2819533049985803,1.0770142912263385,-0.342227395261602,1521.7809396051312,1541.800374940664,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_21930.pkl,0.353
3480,21690,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2586998618548806,1.0410440109520545,-0.2385928973798713,1519.5836814942572,1539.60311682979,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_21690.pkl,0.474
3480,22170,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.4457395889065532,1.2337619935757294,-0.5556561599848403,1556.438320421485,1576.4577557570178,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_22170.pkl,0.311
3480,21850,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2853443210117264,1.0786652513409747,-0.3394632382637077,1523.4677297928579,1543.4871651283906,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_21850.pkl,0.482
3480,22010,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2863988644450515,1.0785700847902666,-0.3377490603433291,1524.6905162055884,1544.7099515411212,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_22010.pkl,0.435
3480,22090,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.4421948613647826,1.2354930813249865,-0.5816000654267233,1549.1409114036564,1569.1603467391892,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_22090.pkl,0.414
3480,22250,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2903514968896024,1.07663658833149,-0.333741512893411,1528.5942156309513,1548.613650966484,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_22250.pkl,0.368
