LAMBX,LAMBY,n_observations,MAE,RMSE,R2,Bias,T_observed_mean,T_predicted_mean,mean_absolute_error,temperature_mean_difference
600,24010,312,0.9622987285638467,1.187050963301534,0.8896880309977612,0.309084295309507,12.279487179487178,11.970402884177673,0.9622987285638467,0.3090842953095052
760,23610,312,1.025724328786899,1.2593744141017498,0.8886738134301455,0.2381654357298828,12.340384615384616,12.102219179654734,1.025724328786899,0.2381654357298828
760,23930,312,1.0412562232751112,1.2814152374011287,0.8859729835069211,0.2938920507064232,12.45224358974359,12.158351539037167,1.0412562232751112,0.29389205070642355
760,24010,312,0.9209785895469861,1.1277167101363756,0.8996381493912631,0.22029645993159364,11.906089743589742,11.68579328365815,0.9209785895469861,0.22029645993159264
760,24090,312,0.9392940457050617,1.1452035561697436,0.8968924684056494,0.23747823941401947,12.040064102564102,11.802585863150084,0.9392940457050617,0.2374782394140187
760,24170,312,0.9413112609814375,1.1678092972377152,0.8929081062944205,0.2687512654524583,12.192628205128207,11.923876939675747,0.9413112609814375,0.26875126545246
840,23530,312,1.0443398821048249,1.2867809766321285,0.8852454129524315,0.24707241577979844,12.501923076923077,12.254850661143278,1.0443398821048249,0.24707241577979921
840,23610,312,1.025988945288536,1.2644517102777364,0.886730292032949,0.22959015094316926,12.174038461538462,11.944448310595293,1.025988945288536,0.22959015094316904
840,23850,312,1.0363242054596926,1.2749057128070758,0.8871285438916776,0.28411990281863087,12.45224358974359,12.16812368692496,1.0363242054596926,0.284119902818631
840,23930,312,1.0298624402437453,1.2706404822883461,0.8872302880464499,0.2699854768239535,12.38429487179487,12.114309394970919,1.0298624402437453,0.26998547682395113
840,24010,312,0.9908184858468864,1.1961672260218272,0.8989085151811822,0.17387855297479882,11.808653846153847,11.634775293179047,0.9908184858468864,0.17387855297480037
840,24090,312,0.9158523143866123,1.113448313983695,0.9017729026418175,0.15676835439144043,11.743910256410256,11.587141902018816,0.9158523143866123,0.1567683543914402
840,24170,312,0.9191786139439313,1.124761109975585,0.9003500047037379,0.20960318950506354,11.941346153846153,11.731742964341091,0.9191786139439313,0.20960318950506185
920,23530,312,1.0234163865064965,1.2537900530596593,0.8901125530203107,0.21885708356514955,12.363782051282051,12.144924967716902,1.0234163865064965,0.21885708356514932
920,23610,312,1.0312587997852227,1.2661417839720908,0.8859260831022489,0.22209097146987908,12.099038461538461,11.876947490068583,1.0312587997852227,0.22209097146987844
920,23770,312,1.0350309873238588,1.275190690201344,0.8868425907630048,0.27741329180888635,12.431089743589743,12.153676451780857,1.0350309873238588,0.27741329180888563
920,23850,312,1.0333347274706914,1.2766387868924622,0.885280419134903,0.25862017503151524,12.270833333333334,12.012213158301819,1.0333347274706914,0.25862017503151513
920,23930,312,1.0365877768932243,1.279828673617065,0.8860950025674241,0.2878595113754272,12.43878205128205,12.150922539906624,1.0365877768932243,0.28785951137542654
920,24010,312,0.9986981725081421,1.2028231179841178,0.898028184945668,0.19184907185725672,11.88846153846154,11.696612466604282,0.9986981725081421,0.1918490718572574
920,24090,312,0.9973607787719141,1.2024473997441194,0.8976035992453512,0.14429234877610825,11.775961538461539,11.63166918968543,0.9973607787719141,0.14429234877610853
920,24170,312,0.9303310220058147,1.1337890989706756,0.898670964553726,0.21600662225332015,11.97852564102564,11.762519018772322,0.9303310220058147,0.21600662225331924
920,24250,312,0.9484927125466175,1.1707453733029372,0.8925985837299762,0.26401522067876965,12.179487179487179,11.91547195880841,0.9484927125466175,0.26401522067876826
1000,23290,312,1.0318910302259983,1.2738457896878632,0.8875409260835507,0.18909872220112725,12.501923076923077,12.31282435472195,1.0318910302259983,0.1890987222011269
1000,23370,312,1.014996412778512,1.2509874755275245,0.8910972987525002,0.19800399358455947,12.431089743589743,12.233085750005184,1.014996412778512,0.19800399358455856
