metric,value
n,3086304.0
mean,0.17141760927007044
median,0.22365012168884268
variance,3.2099432087842636
std,1.7916314377639904
min,-9.66044750213623
max,6.741683769226075
MAE,1.4226543846582962
median_absolute_error,1.1845209121704103
RMSE,1.799813102950451
bias,0.17141760927007044
q01,-4.116604507446289
q05,-2.8335235452651983
q25,-0.9796850442886356
q50,0.22365012168884268
q75,1.3642126321792605
q95,3.0594186128675935
q99,4.232501310348516
