Model,MAE,RMSE,R2,Bias
XGBoost_Baseline,1.4226543846582962,1.799813102950451,0.9200597394229058,0.1714176092700704
XGBoost_Advanced,1.3766443463880491,1.719502993993558,0.927034659445282,0.1368075002621051
