epoch,train_loss,validation_loss,learning_rate
1,2.807836671636667,0.1441059446842347,0.001
2,0.22013467664553557,0.13446812917793421,0.001
3,0.18393603991653168,0.12479804586558803,0.001
4,0.17063316646143187,0.1218422620605948,0.001
5,0.16242735904023217,0.11820118466443014,0.001
6,0.15526107454125737,0.12075231389445544,0.001
7,0.1554977367415175,0.11767613882270471,0.001
8,0.14699290449349006,0.11590359807841924,0.001
9,0.14580981734571263,0.11365208390381314,0.001
10,0.13948280946760303,0.11218892885324636,0.001
11,0.13715736926437838,0.11320498484337237,0.001
12,0.13447212295677424,0.11162666663396474,0.001
13,0.13308467391125417,0.10999651286321788,0.001
14,0.13086719945697114,0.11002528598495018,0.001
15,0.1266996763062802,0.10990524988437018,0.001
16,0.12426902094670134,0.11183614531693112,0.001
17,0.12268587314940509,0.10676630783941612,0.001
18,0.11989056020010637,0.10782226664994614,0.001
19,0.11777507417533074,0.10870908982689763,0.001
20,0.11564068447126645,0.1121209629055859,0.001
21,0.11191832060479318,0.11023443143630347,0.001
22,0.11488647865783798,0.11065928504208843,0.001
23,0.10992490209261319,0.11435521784644058,0.001
24,0.10935388340547972,0.11044900484765806,0.0005
25,0.1014268610279759,0.11225020833751329,0.0005
26,0.10145468780447761,0.1134331112711146,0.0005
27,0.09808334570118314,0.113785068672159,0.0005
28,0.09758739426514325,0.11554670542795754,0.0005
29,0.09409512460269776,0.11175824910719491,0.0005
30,0.09511571739925126,0.1146967807532129,0.0005
31,0.0927374657330074,0.11554762754849623,0.00025
32,0.09022464100123503,0.11597595689667424,0.00025
33,0.0888998916763014,0.11603708862430903,0.00025
34,0.08934682381364123,0.11470547953533497,0.00025
35,0.08924007545610474,0.11546042234684681,0.00025
36,0.0871379638675809,0.11673580156962444,0.00025
37,0.08536950289995586,0.11711863441110926,0.00025
