epoch,train_loss,validation_loss,learning_rate
1,0.19367219000686509,0.10605663103894027,0.001
2,0.11409855945675329,0.101088726802564,0.001
3,0.10690645769938448,0.09591497982171662,0.001
4,0.10542830253691957,0.0990907630914618,0.001
5,0.10098247987678428,0.08955791039234617,0.001
6,0.09940937323799154,0.08804279689930038,0.001
7,0.09723560881489596,0.08650067335529936,0.001
8,0.09587024755442015,0.08484751340872378,0.001
9,0.09667951925000548,0.08422130442835125,0.001
10,0.0942622390598997,0.08358580244326691,0.001
11,0.09464752250756074,0.08520215234302471,0.001
12,0.09439585426513782,0.08305315921933824,0.001
13,0.09561068550259316,0.09808634059164933,0.001
14,0.09418388000464128,0.08779856090617918,0.001
15,0.09426394777241508,0.08931442801803971,0.001
16,0.09285972577117758,0.08788658917805267,0.001
17,0.09290841785735847,0.08420791987576236,0.001
18,0.09475859549567665,0.08285988402526613,0.001
19,0.09218853964745513,0.08439418448377461,0.001
20,0.09161116983465696,0.08419374729929452,0.001
21,0.09232929203324286,0.08332335354552563,0.001
22,0.09220335689262162,0.0840379769522964,0.001
23,0.09062989217440989,0.08664417086183776,0.001
24,0.09115419020468761,0.08500116159178382,0.001
25,0.09291376019253081,0.09578981603918557,0.0005
26,0.08915267822844054,0.0820423534751104,0.0005
27,0.08838617167888324,0.08348896624050665,0.0005
28,0.08832970251563695,0.08200504816637609,0.0005
29,0.08744332769287794,0.08261651893985432,0.0005
30,0.08799733868680001,0.083009938911562,0.0005
31,0.08745701279612841,0.08268777611340046,0.0005
32,0.08796698286525874,0.08511208151913197,0.0005
33,0.08723499405333794,0.08281556011790868,0.0005
34,0.08736898127541047,0.0834758559458237,0.0005
35,0.08779552071187688,0.08239450576348417,0.00025
36,0.085144260751917,0.08489448323756221,0.00025
37,0.08561299959663621,0.0825440405537441,0.00025
38,0.08572624392008868,0.0866805225652106,0.00025
39,0.08440876729852886,0.08408803100086153,0.00025
40,0.08533041763857462,0.08191567867277177,0.00025
41,0.08642708292130315,0.08613729549676166,0.00025
42,0.0855602825434404,0.0824816416102612,0.00025
43,0.08598306486480807,0.08248170369728358,0.00025
44,0.08651056162069694,0.08254861204175142,0.00025
45,0.08554177634827913,0.08423802666521249,0.00025
46,0.08530687692966885,0.08386416120945112,0.00025
47,0.08434126461965027,0.08329242421680444,0.000125
48,0.08483339189413401,0.08374549304719106,0.000125
49,0.08399827674365902,0.08272102807529101,0.000125
50,0.08325169263525407,0.08308794812464372,0.000125
51,0.08286436036414722,0.08489405631343284,0.000125
52,0.0827837664642392,0.08407422167208944,0.000125
53,0.08272133432083928,0.0839822150487582,0.000125
54,0.08286073187513539,0.08366795716490916,6.25e-05
55,0.08339893948032866,0.08328457735565072,6.25e-05
56,0.08356727662551891,0.08307460617586067,6.25e-05
57,0.08277984381429329,0.08323592878102373,6.25e-05
58,0.08274458268889495,0.0854902129684097,6.25e-05
59,0.083616980533717,0.08399436806278171,6.25e-05
60,0.08175461598868064,0.08491203607452627,6.25e-05
