epoch,train_loss,validation_loss,learning_rate
1,0.9654619616247269,0.1249248717033659,0.001
2,0.1791156592472074,0.12440787184740426,0.001
3,0.16686714386149717,0.11904790899589182,0.001
4,0.16028556846264147,0.11818779686406386,0.001
5,0.15770872126663035,0.1180583883813,0.001
6,0.15831754001593068,0.11818137880775013,0.001
7,0.15851784254553694,0.1162839688702018,0.001
8,0.1573290912328695,0.11766759863003488,0.001
9,0.15547948043709048,0.11581852808698136,0.001
10,0.1527760826271165,0.1155134563173535,0.001
11,0.15217695373453977,0.11608033028398052,0.001
12,0.15097152227728555,0.1171937033996048,0.001
13,0.15238997468506926,0.1159954958425965,0.001
14,0.14964506112209333,0.11732123201227695,0.001
15,0.1532905405440073,0.11894424198292737,0.001
16,0.15122170367842505,0.11638628455953762,0.001
17,0.14963710944044878,0.11864911593507142,0.0005
18,0.14709874762703862,0.11608222366923925,0.0005
19,0.14958948054634685,0.11600412180830846,0.0005
20,0.14760230189943543,0.11535308863459115,0.0005
21,0.1466016593436067,0.11566295712317431,0.0005
22,0.14534761573188829,0.11670374486221312,0.0005
23,0.14439037932628998,0.11601306412546572,0.0005
24,0.14631401023742463,0.11592164037818987,0.0005
25,0.14337209389059405,0.1169224979837754,0.0005
26,0.1443942884341097,0.11746589573292421,0.0005
27,0.14479003745375327,0.11682073105848922,0.00025
28,0.14238073525138728,0.11687907626208527,0.00025
29,0.14176949830827168,0.1174990334468327,0.00025
30,0.14095416985400297,0.11779545366846815,0.00025
31,0.14143830292731321,0.11784085322452441,0.00025
32,0.14093486282116316,0.11704233202571286,0.00025
33,0.14024819268266792,0.11712509373695086,0.00025
34,0.14112501387369566,0.11659916482386573,0.000125
35,0.1383593718704785,0.11706294130390853,0.000125
36,0.14077151526484266,0.11730371181168307,0.000125
37,0.13953154426620815,0.11751043446248242,0.000125
38,0.13840067903937295,0.11753250610243662,0.000125
39,0.1398503911913733,0.11769756170705975,0.000125
40,0.13685215547471885,0.11768859977222383,0.000125
