epoch,train_loss,validation_loss,learning_rate
1,3.5508632398334403,0.12959840129724756,0.001
2,0.15628230949646235,0.11416901969374578,0.001
3,0.1439460505819723,0.11594536606082757,0.001
4,0.13430113450673278,0.10942123906858428,0.001
5,0.12597889632842957,0.10923427365434109,0.001
6,0.12552806124788202,0.10886478168249461,0.001
7,0.1202599687884108,0.10903047684412871,0.001
8,0.12013770082180578,0.10061747516983365,0.001
9,0.11671260096891915,0.10476895875811632,0.001
10,0.1169930019768369,0.10070158735655459,0.001
11,0.1112909969908707,0.09752641950614581,0.001
12,0.1086501352488264,0.09569170399431497,0.001
13,0.1090134729335235,0.095627145606409,0.001
14,0.1059142626873872,0.0951576761242859,0.001
15,0.10488580232907174,0.09328872490844921,0.001
16,0.10441419559608456,0.09544438083364366,0.001
17,0.10232936517478228,0.09253350271567985,0.001
18,0.10146349332835776,0.09335465803707932,0.001
19,0.10076482196824275,0.09352096739409975,0.001
20,0.10008998489562841,0.09082450173288405,0.001
21,0.09793818333157257,0.09312874320092879,0.001
22,0.09901579224304602,0.09303075349934947,0.001
23,0.0958440706639462,0.09080972237023752,0.001
24,0.09568982800718873,0.09032377082128759,0.001
25,0.09552938420304694,0.09132075688316005,0.001
26,0.09525512693205265,0.09314708821630655,0.001
27,0.09537447644990367,0.09287713113991214,0.001
28,0.09381339327779555,0.09046621980599814,0.001
29,0.09292837672576351,0.09235614666793701,0.001
30,0.09322762692735699,0.0937260476831814,0.001
31,0.09097292556272975,0.09336615903738305,0.0005
32,0.09000578952166477,0.09184685791465542,0.0005
33,0.08798787557410646,0.09234632338944104,0.0005
34,0.08666144599894209,0.0925752795829314,0.0005
35,0.08600599949999897,0.09199434167488699,0.0005
36,0.08591551041181057,0.09478209356655407,0.0005
37,0.0858456866312076,0.0929588316002415,0.0005
38,0.08520813034298468,0.09386338379401292,0.00025
39,0.08358959533837515,0.09386502175640586,0.00025
40,0.08197839392629151,0.09266269060126724,0.00025
41,0.083053741624183,0.0933292858795621,0.00025
42,0.08122367091309596,0.09305796922563347,0.00025
43,0.08261476482399961,0.09337959934003592,0.00025
44,0.08218895797754276,0.09351187428629326,0.00025
