================================================================================
EXTRACTION DU PREMIER POINT SAFRAN
================================================================================
Source : /home/lab-c0de80861d/climate_project/data/processed/safran_quot_clean.csv
Point sélectionné : LAMBX=600, LAMBY=24010
Destination : /home/lab-c0de80861d/climate_project/ndambo/data/processed/first_point_multivariate_daily.csv
Bloc 0072 | lignes lues=72,000,000 | lignes trouvées=7,304 | durée=58.3s
Bloc 0073 | lignes lues=73,000,000 | lignes trouvées=7,486 | durée=59.1s
Bloc 0074 | lignes lues=74,000,000 | lignes trouvées=7,486 | durée=59.9s
Bloc 0075 | lignes lues=75,000,000 | lignes trouvées=7,670 | durée=60.7s
Bloc 0076 | lignes lues=76,000,000 | lignes trouvées=7,851 | durée=61.5s
Bloc 0077 | lignes lues=77,000,000 | lignes trouvées=7,851 | durée=62.3s
Bloc 0078 | lignes lues=78,000,000 | lignes trouvées=8,035 | durée=63.1s
Bloc 0079 | lignes lues=79,000,000 | lignes trouvées=8,035 | durée=63.9s
Bloc 0080 | lignes lues=80,000,000 | lignes trouvées=8,216 | durée=64.7s
Bloc 0081 | lignes lues=81,000,000 | lignes trouvées=8,216 | durée=65.5s
Bloc 0082 | lignes lues=82,000,000 | lignes trouvées=8,400 | durée=66.3s
Bloc 0083 | lignes lues=83,000,000 | lignes trouvées=8,400 | durée=67.0s
Bloc 0084 | lignes lues=84,000,000 | lignes trouvées=8,581 | durée=67.9s
Bloc 0085 | lignes lues=85,000,000 | lignes trouvées=8,765 | durée=68.7s
Bloc 0086 | lignes lues=86,000,000 | lignes trouvées=8,765 | durée=69.5s
Bloc 0087 | lignes lues=87,000,000 | lignes trouvées=8,947 | durée=70.3s
Bloc 0088 | lignes lues=88,000,000 | lignes trouvées=8,947 | durée=71.1s
Bloc 0089 | lignes lues=89,000,000 | lignes trouvées=9,131 | durée=71.9s
Bloc 0090 | lignes lues=90,000,000 | lignes trouvées=9,131 | durée=72.7s
Bloc 0091 | lignes lues=91,000,000 | lignes trouvées=9,312 | durée=73.4s
Bloc 0092 | lignes lues=92,000,000 | lignes trouvées=9,312 | durée=74.3s
Bloc 0093 | lignes lues=93,000,000 | lignes trouvées=9,496 | durée=75.1s
Bloc 0094 | lignes lues=94,000,000 | lignes trouvées=9,677 | durée=75.9s
Bloc 0095 | lignes lues=95,000,000 | lignes trouvées=9,677 | durée=76.7s
Bloc 0096 | lignes lues=96,000,000 | lignes trouvées=9,861 | durée=77.5s
Bloc 0097 | lignes lues=97,000,000 | lignes trouvées=9,861 | durée=78.2s
Bloc 0098 | lignes lues=98,000,000 | lignes trouvées=10,042 | durée=79.0s
Bloc 0099 | lignes lues=99,000,000 | lignes trouvées=10,042 | durée=79.8s
Bloc 0100 | lignes lues=100,000,000 | lignes trouvées=10,226 | durée=80.6s
Bloc 0101 | lignes lues=101,000,000 | lignes trouvées=10,226 | durée=81.4s
Bloc 0102 | lignes lues=102,000,000 | lignes trouvées=10,408 | durée=82.2s
Bloc 0103 | lignes lues=103,000,000 | lignes trouvées=10,592 | durée=83.0s
Bloc 0104 | lignes lues=104,000,000 | lignes trouvées=10,592 | durée=83.8s
Bloc 0105 | lignes lues=105,000,000 | lignes trouvées=10,773 | durée=84.6s
Bloc 0106 | lignes lues=106,000,000 | lignes trouvées=10,773 | durée=85.4s
Bloc 0107 | lignes lues=107,000,000 | lignes trouvées=10,957 | durée=86.2s
Bloc 0108 | lignes lues=108,000,000 | lignes trouvées=10,957 | durée=87.1s
Bloc 0109 | lignes lues=109,000,000 | lignes trouvées=11,139 | durée=87.9s
Bloc 0110 | lignes lues=110,000,000 | lignes trouvées=11,139 | durée=88.7s
Bloc 0111 | lignes lues=111,000,000 | lignes trouvées=11,323 | durée=89.5s
Bloc 0112 | lignes lues=112,000,000 | lignes trouvées=11,323 | durée=90.3s
Bloc 0113 | lignes lues=113,000,000 | lignes trouvées=11,504 | durée=91.1s
Bloc 0114 | lignes lues=114,000,000 | lignes trouvées=11,688 | durée=91.9s
Bloc 0115 | lignes lues=115,000,000 | lignes trouvées=11,688 | durée=92.7s
Bloc 0116 | lignes lues=116,000,000 | lignes trouvées=11,869 | durée=93.5s
Bloc 0117 | lignes lues=117,000,000 | lignes trouvées=11,869 | durée=94.3s
Bloc 0118 | lignes lues=118,000,000 | lignes trouvées=12,053 | durée=95.1s
Bloc 0119 | lignes lues=119,000,000 | lignes trouvées=12,053 | durée=95.9s
Bloc 0120 | lignes lues=120,000,000 | lignes trouvées=12,234 | durée=96.7s
Bloc 0121 | lignes lues=121,000,000 | lignes trouvées=12,234 | durée=97.5s
Bloc 0122 | lignes lues=122,000,000 | lignes trouvées=12,418 | durée=98.3s
Bloc 0123 | lignes lues=123,000,000 | lignes trouvées=12,600 | durée=99.1s
Bloc 0124 | lignes lues=124,000,000 | lignes trouvées=12,600 | durée=99.9s
Bloc 0125 | lignes lues=125,000,000 | lignes trouvées=12,784 | durée=100.7s
Bloc 0126 | lignes lues=126,000,000 | lignes trouvées=12,784 | durée=101.5s
Bloc 0127 | lignes lues=127,000,000 | lignes trouvées=12,965 | durée=102.3s
Bloc 0128 | lignes lues=128,000,000 | lignes trouvées=12,965 | durée=103.1s
Bloc 0129 | lignes lues=129,000,000 | lignes trouvées=13,149 | durée=104.0s
Bloc 0130 | lignes lues=130,000,000 | lignes trouvées=13,149 | durée=104.7s
Bloc 0131 | lignes lues=131,000,000 | lignes trouvées=13,330 | durée=105.6s
Bloc 0132 | lignes lues=132,000,000 | lignes trouvées=13,514 | durée=106.4s
Bloc 0133 | lignes lues=133,000,000 | lignes trouvées=13,514 | durée=107.2s
Bloc 0134 | lignes lues=134,000,000 | lignes trouvées=13,695 | durée=108.0s
Bloc 0135 | lignes lues=135,000,000 | lignes trouvées=13,695 | durée=108.8s
Bloc 0136 | lignes lues=136,000,000 | lignes trouvées=13,879 | durée=109.6s
Bloc 0137 | lignes lues=137,000,000 | lignes trouvées=13,879 | durée=110.4s
Bloc 0138 | lignes lues=138,000,000 | lignes trouvées=14,061 | durée=111.1s
Bloc 0139 | lignes lues=139,000,000 | lignes trouvées=14,061 | durée=111.9s
Bloc 0140 | lignes lues=140,000,000 | lignes trouvées=14,245 | durée=112.7s
Bloc 0141 | lignes lues=141,000,000 | lignes trouvées=14,426 | durée=113.5s
Bloc 0142 | lignes lues=142,000,000 | lignes trouvées=14,426 | durée=114.3s
Bloc 0143 | lignes lues=143,000,000 | lignes trouvées=14,610 | durée=115.1s
Bloc 0144 | lignes lues=144,000,000 | lignes trouvées=14,610 | durée=115.9s
Bloc 0145 | lignes lues=144,522,120 | lignes trouvées=14,610 | durée=116.3s

================================================================================
CONTRÔLE DU POINT MULTIVARIÉ
================================================================================
Coordonnées : LAMBX=600, LAMBY=24010
Période : 1960-01-01 → 1999-12-31
Nombre de lignes : 14,610
Nombre de colonnes : 25
Jours attendus : 14,610
Jours manquants : 0
Doublons de dates : 0

Valeurs manquantes :
Aucune valeur manquante.

Premières lignes :
 LAMBX  LAMBY       DATE  PRENEI  PRELIQ    T  FF     Q         DLI        SSI        HU  EVAP  ETP   PE   SWI  SSWI_10J  DRAINC  RUNC  WG_RACINE  WGI_RACINE  TINF_H  TSUP_H  DAY_OF_YEAR  MONTH  PRETOT
   600  24010 1960-01-01     0.0    13.3 10.9 7.5 7.365 3256.000000  97.000000 91.800003   2.5  0.6 10.8 1.018     1.526     3.5   1.7      0.325         0.0     9.6    12.2            1      1    13.3
   600  24010 1960-01-02     0.0     5.2 11.4 6.5 8.032 3322.199951  87.900002 96.400002   1.2  0.5  4.0 1.033     1.491     3.4   0.7      0.328         0.0     9.9    12.1            2      1     5.2
   600  24010 1960-01-03     0.0     4.7 12.1 2.7 8.518 3310.800049  70.000000 97.400002   0.2  0.4  4.5 1.032     1.458     3.4   0.7      0.328         0.0    10.5    13.3            3      1     4.7
   600  24010 1960-01-04     0.0     0.4 12.7 5.5 8.817 3325.000000 200.000000 97.400002   0.4  0.4  0.0 1.026     1.404     3.4   0.1      0.329         0.0    11.9    13.2            4      1     0.4
   600  24010 1960-01-05     0.0     0.3  9.7 4.2 6.971 3090.199951 138.100006 92.699997   0.5  0.6 -0.2 1.014     1.347     3.4   0.0      0.327         0.0     9.0    11.6            5      1     0.3

Extraction terminée.
Fichier créé : /home/lab-c0de80861d/climate_project/ndambo/data/processed/first_point_multivariate_daily.csv
