epoch,train_loss,validation_loss,learning_rate
1,1.887429322179736,0.1244954784702008,0.001
2,0.1828930021703062,0.12277114061032772,0.001
3,0.1673988358400681,0.11760003855801025,0.001
4,0.162652703059635,0.11941780024438696,0.001
5,0.16032915640206996,0.11665095712287953,0.001
6,0.15499460789968397,0.11673809570716741,0.001
7,0.15728456122572193,0.11937367162774526,0.001
8,0.15677519200057904,0.11888157966262707,0.001
9,0.15317501373661374,0.11617018083133723,0.001
10,0.15137715698767376,0.11526659539263318,0.001
11,0.15219057796836613,0.11679779651649348,0.001
12,0.15343166873146882,0.11533616284621308,0.001
13,0.15201960805819248,0.11739216935904917,0.001
14,0.15358811962063246,0.11572827374642781,0.001
15,0.15159197255561338,0.1156753150884998,0.001
16,0.15102176793263777,0.11605302950178567,0.001
17,0.15157251034289632,0.11770731345170739,0.0005
18,0.14808518056736467,0.11661584716685003,0.0005
19,0.14634526426346497,0.11594423931652283,0.0005
20,0.14756966077359013,0.11623445972421002,0.0005
21,0.1465544625787954,0.11600559133448461,0.0005
22,0.14614734113380068,0.11639482158717597,0.0005
23,0.14585412441924284,0.11623277920972744,0.0005
24,0.1435845690760482,0.11706006222166214,0.00025
25,0.14492068390986773,0.11626192469499774,0.00025
26,0.1429629936701786,0.11622904530695774,0.00025
27,0.14397875396184995,0.11618453134601174,0.00025
28,0.14052284451440303,0.11611230403860649,0.00025
29,0.14279697699541904,0.11730045543562091,0.00025
30,0.142841419534051,0.11770429077770687,0.00025
