epoch,train_loss,validation_loss,learning_rate
1,0.1517926833190918,0.08310996817747753,0.001
2,0.08650466567897797,0.07509575012922287,0.001
3,0.08095638396596909,0.07047306845982869,0.001
4,0.07944847047615052,0.07025937377214432,0.001
5,0.07827563358163833,0.0696547930876414,0.001
6,0.07744130135917664,0.06920760721762975,0.001
7,0.077539806245327,0.06929899667104085,0.001
8,0.07783383757734298,0.07114087312618891,0.001
9,0.07716335906839371,0.06961595687866211,0.001
10,0.07690893694972992,0.06901489838759105,0.001
11,0.0767608231639862,0.06866295923391978,0.001
12,0.07658312400960922,0.06865094445149104,0.001
13,0.07681396537160873,0.06866207667589187,0.001
14,0.0759832996020317,0.06930977054437001,0.001
15,0.0757840418229103,0.06934269748528799,0.001
16,0.07612521105527878,0.06852577214241028,0.001
17,0.07557281058216095,0.06928642793496449,0.001
18,0.0753589524011612,0.06976825140714646,0.001
19,0.07594574330615997,0.0699516082127889,0.001
20,0.07516507746124268,0.0682573147058487,0.001
21,0.07497048060274124,0.06955696414709091,0.001
22,0.07498914890575409,0.06907275060017903,0.001
23,0.07485074092888833,0.06906328417460124,0.001
24,0.07455042454767227,0.06885775337616602,0.001
25,0.07416422655081749,0.06936417820851008,0.0005
26,0.07417848409509659,0.06811665864785513,0.0005
27,0.073924375,0.0682915711482366,0.0005
28,0.07421083429789543,0.06812718675136566,0.0005
29,0.07413893644285202,0.06835928308169047,0.0005
30,0.07377846087121963,0.06923985983133316,0.0005
