================================================================================
EXTRACTION DU PATCH SPATIAL SAFRAN 5 × 5
================================================================================
Centre : LAMBX=6440, LAMBY=22010
Coordonnées X : [6280, 6360, 6440, 6520, 6600]
Coordonnées Y : [21850, 21930, 22010, 22090, 22170]
Source : /home/lab-c0de80861d/climate_project/data/processed/safran_quot_clean.csv
Bloc 0073 | lignes lues=73,000,000 | lignes retenues=182,600 | durée=48.2s
Bloc 0074 | lignes lues=74,000,000 | lignes retenues=187,150 | durée=48.9s
Bloc 0075 | lignes lues=75,000,000 | lignes retenues=190,830 | durée=49.5s
Bloc 0076 | lignes lues=76,000,000 | lignes retenues=191,750 | durée=50.2s
Bloc 0077 | lignes lues=77,000,000 | lignes retenues=196,275 | durée=50.8s
Bloc 0078 | lignes lues=78,000,000 | lignes retenues=196,275 | durée=51.5s
Bloc 0079 | lignes lues=79,000,000 | lignes retenues=200,875 | durée=52.1s
Bloc 0080 | lignes lues=80,000,000 | lignes retenues=200,875 | durée=52.8s
Bloc 0081 | lignes lues=81,000,000 | lignes retenues=205,400 | durée=53.4s
Bloc 0082 | lignes lues=82,000,000 | lignes retenues=205,400 | durée=54.1s
Bloc 0083 | lignes lues=83,000,000 | lignes retenues=210,000 | durée=54.8s
Bloc 0084 | lignes lues=84,000,000 | lignes retenues=212,715 | durée=55.4s
Bloc 0085 | lignes lues=85,000,000 | lignes retenues=214,525 | durée=56.1s
Bloc 0086 | lignes lues=86,000,000 | lignes retenues=219,125 | durée=56.7s
Bloc 0087 | lignes lues=87,000,000 | lignes retenues=219,125 | durée=57.4s
Bloc 0088 | lignes lues=88,000,000 | lignes retenues=223,675 | durée=58.1s
Bloc 0089 | lignes lues=89,000,000 | lignes retenues=223,675 | durée=58.8s
Bloc 0090 | lignes lues=90,000,000 | lignes retenues=228,275 | durée=59.4s
Bloc 0091 | lignes lues=91,000,000 | lignes retenues=228,275 | durée=60.1s
Bloc 0092 | lignes lues=92,000,000 | lignes retenues=232,800 | durée=60.8s
