LAMBX,LAMBY,train_n,test_n,rmse,mae,bias,aic,bic,lon,lat
3880,19850,432,48,1.3486069552544948,1.1072241221697405,-0.4270698951251524,1541.723406376534,1561.7428417120668,-0.3437065371810482,44.83319998089103
7160,24250,432,48,1.4795111962971337,1.172159125037214,-0.19239694419477174,1613.2111173575368,1633.2305526930695,3.9152146003192922,48.812922952306224
4280,23850,432,48,1.4345179363226284,1.1455422996943343,-0.44485942573276266,1545.3752022341846,1565.3946375697174,0.012137773658859359,48.440947100613045
7240,20330,432,48,1.418871166728184,1.123571220235349,-0.1932697895561951,1571.9002851496336,1591.9197204851664,3.916857501847985,45.286296864846356
8040,24410,432,48,1.494772581890642,1.172499802878557,0.2030829077657593,1644.2620170068926,1664.2814523424254,5.119778706645515,48.934732581146406
9480,18810,432,48,1.7355314850725045,1.3580258585126168,0.6555705518022016,1476.928707708199,1496.9481430437318,6.66114245404165,43.844453918123236
6760,23530,432,48,1.4048501947465863,1.1229861337015072,-0.033817104576951196,1607.03003399859,1627.0494693341227,3.358183363427627,48.17168259995474
9400,18650,432,48,1.3426273847616454,1.0847783827508561,-0.18877419803685566,1435.824983142557,1455.8444184780897,6.551269953867832,43.70474542083603
8840,21610,432,48,1.6985023754599549,1.3924761260195864,-0.1940118415322307,1651.4890402532699,1671.5084755888026,6.030446514307831,46.38904514103136
6600,23050,432,48,1.3991462325837831,1.140355445499875,-0.042846656444082726,1627.6929655647505,1647.7124009002832,3.1365504735480867,47.74172102996719
8920,20890,432,48,1.4917135557502585,1.2078943037313703,-0.08634162413452935,1597.5779667392158,1617.5974020747485,6.089667301660655,45.73858668479392
11640,17610,432,48,1.0964403860716567,0.8824857583820384,0.01781273328192523,1320.3829310660167,1340.4023664015494,9.204164402624144,42.63077513074267
9240,22250,432,48,1.6117145296622981,1.2798222911038541,0.09517744215484399,1657.0580595981025,1677.0774949336353,6.594819115878879,46.94590575097832
6520,20810,432,48,1.571069352148254,1.2421779340552819,-0.25101913764322864,1631.5313027297657,1651.5507380652984,3.004528544099773,45.727339872218415
8280,18330,432,48,1.3760602199087348,1.1520785748323623,-0.5250119253011295,1441.4866903327768,1461.5061256683096,5.15019055627673,43.462398883005676
4760,19370,432,48,1.4780687524834983,1.2266957197751271,-0.649702047584182,1518.1845866631465,1538.2040219986793,0.780476508229845,44.42298718225987
10680,22010,432,48,1.7966513530412216,1.4218899822073414,-0.3299564854299683,1641.8316638442461,1661.8510991797789,8.45639019276016,46.64498300638106
6520,24570,432,48,1.5147286043923363,1.213178591662736,-0.24345748676508094,1595.9776047917644,1615.9970401272972,3.048218639598011,49.10884402686894
5480,20250,432,48,1.5078224616965517,1.2509827941384233,-0.28013266645041507,1582.0708965912165,1602.0903319267493,1.6746297262350296,45.22356221963489
9720,21530,432,48,1.9068769074261736,1.5151723376298787,-0.5711838069496266,1639.528800863005,1659.5482361985378,7.1661111832515765,46.274271001467795
3640,20170,432,48,1.268985257621942,1.0435855808946253,-0.3786306299509592,1485.1553662348754,1505.1748015704081,-0.6622862559692047,45.113049983536904
5960,18890,432,48,1.6189661390754937,1.329797064456585,-0.27263395841243654,1590.275394169431,1610.2948295049637,2.2867460989971278,44.00242543181841
7880,18730,432,48,1.1537232111156377,0.9312113503363836,-0.12803409562608037,1423.7746495186625,1443.7940848541953,4.671548425365162,43.833505400650864
9000,21690,432,48,1.3471624750257138,1.0741052754913192,-0.24710134300348172,1610.669357170698,1630.6887925062308,6.243388079018283,46.453980207026355
9480,24010,432,48,1.501509423760845,1.2046068975454187,-0.13354227142897926,1678.1358345129086,1698.1552698484413,7.048017186630587,48.51390032004734
6840,22090,432,48,1.392227263942142,1.1225278663403697,-0.44036118940962643,1609.6088078644266,1629.6282431999593,3.4385903455129543,46.87562553979648
6040,25770,432,48,1.6114886436701665,1.267909885767038,-0.4086558557819357,1577.9985063753352,1598.017941710868,2.3924030751184118,50.188616020221936
6120,19210,432,48,1.5889326543875546,1.3029205053241182,-0.1211211761046291,1615.238741139628,1635.2581764751608,2.4867885595743084,44.290054647791415
8280,18730,432,48,1.5153550347213411,1.1454048063128373,0.5143306182613688,1470.0903483170773,1490.10978365261,5.167960788070232,43.82169271024305
6440,19050,432,48,1.626706921759322,1.328890094498046,-0.2153915877800263,1601.7523396263557,1621.7717749618885,2.8859809015413282,44.14491116066633
8920,24970,432,48,1.4992705895352325,1.1708435184618204,0.14516274879275767,1629.8721526139302,1649.891587949463,6.357694013112993,49.40322821626065
8840,24570,432,48,1.5254087419964988,1.183582913513123,-0.013869048817891638,1624.8182115039144,1644.8376468394472,6.220514045705048,49.04791313618468
2520,24010,432,48,1.2895494907571532,1.050261515265037,-0.5166584999044431,1442.121318381654,1462.1407537171867,-2.374991397788832,48.513841557194795
9880,18650,432,48,1.0358416366067627,0.8888527390281057,-0.4295749497531199,1232.550015451323,1252.5694507868557,7.144894889140916,43.67999742028453
5960,26410,432,48,1.620451575184751,1.2920343008392463,-0.2733626752382656,1544.8442962545619,1564.8637315900946,2.2799153200667845,50.76281238910349
6280,24650,432,48,1.5092773249151163,1.208630974261424,-0.24592229842781668,1595.5067668452793,1615.526202180812,2.72027498484366,49.1822248285827
7560,19770,432,48,1.5527762799056268,1.2624041332205633,-0.36398240847050234,1580.840527063492,1600.8599623990247,4.306644674326915,44.7762019693343
10280,23610,432,48,1.5341046545433012,1.2479359659550557,0.17281097890363872,1690.4425805312355,1710.4620158667683,8.088043737227107,48.10721510450955
4840,17770,432,48,1.3308517683274488,1.0641596947049972,0.06243953832095183,1518.8920924682743,1538.911527803807,0.9171186979895157,42.98647068917397
3240,23930,432,48,1.3171180315788231,1.0193842738004084,-0.13568954482601067,1394.3423145033848,1414.3617498389176,-1.3967154831508755,48.476786862595816
8760,21050,432,48,1.4069430801503984,1.137670941446695,-0.33731700224806604,1577.7500587255,1597.7694940610327,5.893603602700586,45.88906982996677
1400,24010,432,48,1.4178040297386423,1.1524807715339682,-0.47401854805133264,1394.4111432525895,1414.4305785881222,-3.885773504722232,48.44385213781571
2680,24010,432,48,1.2774355119896248,1.039860558535563,-0.5036575280471359,1442.0815374419906,1462.1009727775233,-2.158854283727258,48.522262430654486
5800,25530,432,48,1.6618624133388982,1.3290359926458015,-0.4849190856022032,1584.9895717579939,1605.0090070935266,2.0580913237950127,49.97287608380977
3800,24170,432,48,1.3867071959599278,1.1061441681587805,-0.3341075119659833,1515.9598514450865,1535.9792867806193,-0.6524112161322422,48.71385855566636
6360,20810,432,48,1.5395449352853041,1.2151296483672989,-0.2976722663787634,1626.300566760186,1646.3200020957188,2.7990015496101894,45.728373786546676
7080,19610,432,48,1.5208237357795904,1.2243896078045664,-0.21898336161817625,1610.1833205795797,1630.2027559151124,3.697116741006426,44.64147302749177
6600,17770,432,48,1.1877581999871598,0.9777113141151478,-0.4774136226335308,1394.4437312080536,1414.4631665435863,3.0708398259179353,42.993375054358395
3560,22090,432,48,1.4448468070392682,1.2316708654052186,-0.551060570435519,1557.7040449019314,1577.7234802374642,-0.8631217613532252,46.83621062965992
7240,25290,432,48,1.5645316862299885,1.2660903263955863,-0.10352846140805476,1601.531070928178,1621.5505062637108,4.054986030503846,49.7455466299386
9640,19130,432,48,1.554992048052959,1.21194430741364,-0.33628879564357317,1467.4202001239923,1487.439635459525,6.882513474373223,44.12357504380008
6360,24570,432,48,1.5238867528034352,1.2186280145834996,-0.23658317921250063,1597.4800566856784,1617.4994920212112,2.8292358616905533,49.10994419743852
9800,22890,432,48,1.5427087550306806,1.2176779929019879,-0.020203384383127927,1661.9266322714238,1681.9460676069566,7.382891750361071,47.49082670544206
1000,24170,432,48,1.1134857558876041,0.9368547135818671,-0.45249343037009937,1311.5325509872991,1331.551986322832,-4.442898316884305,48.55748714110353
8680,24570,432,48,1.5458227076861404,1.1988363718159596,-0.2118574606423702,1630.1470824996036,1650.1665178351363,6.002022907737359,49.054814077077786
4440,21050,432,48,1.2810596283500317,1.051497664169384,-0.20406966526477413,1552.700386538637,1572.7198218741698,0.32509991820397305,45.92727459950431
10360,23050,432,48,1.5421875896112192,1.218128332145823,-0.034630276232112844,1660.04061844647,1680.0600537820028,8.139705037806019,47.59966635328038
4440,19690,432,48,1.3483938820261843,1.068267081199745,-0.34594647346098845,1531.8902311681381,1551.909666503671,0.3690021744361107,44.70424899276143
5560,23290,432,48,1.474716259456346,1.1542956480838402,-0.23464666077724053,1601.688321224043,1621.7077565595757,1.7474222701334343,47.9588160091222
6920,20970,432,48,1.4135002572459374,1.110595721409705,0.09715727994609856,1636.1132659437149,1656.1327012792476,3.52139617917602,45.867039984203586
8760,23210,432,48,1.298813002516192,1.0667560226961899,0.06211219750239536,1619.5380357973863,1639.557471132919,6.024091913498648,47.83014336926809
6360,20410,432,48,1.505887625984546,1.2063193017902907,-0.16005014262289186,1616.5313387986102,1636.550774134143,2.7960022578080967,45.36852544247005
9960,25050,432,48,1.6651270665448812,1.319497079137322,-0.06379432706080183,1684.9421232815014,1704.9615586170341,7.793547188133378,49.41867541178487
9480,20970,432,48,1.792994427376636,1.4150136093462053,-0.2894564880587042,1647.731221810277,1667.7506571458098,6.81386525311984,45.7841000202038
7480,21450,432,48,1.372294872673456,1.1479383261622376,-0.29984822088932905,1628.9027432668709,1648.9221786024036,4.257478978226235,46.2888639752725
5480,22810,432,48,1.4466935259019063,1.1712360278430864,-0.5708504179871413,1575.2265046601865,1595.2459399957193,1.6459709959105804,47.52654189412896
1480,23690,432,48,1.235883057894796,0.9943886897866995,-0.3562807998201299,1379.3715158779,1399.3909512134328,-3.7445710753079715,48.16264487276882
1000,24010,432,48,1.1943993569438998,1.0009034868044,-0.42945642376860604,1352.51649395005,1372.5359292855828,-4.424281790625985,48.414181578549005
7000,19050,432,48,1.6757139327820414,1.352308664402731,-0.2958366758494044,1612.0687286821176,1632.0881640176503,3.5851522867819674,44.13915621498539
3720,24730,432,48,1.3787592754968625,1.1394523809278303,-0.5904586106147915,1437.8399377057588,1457.8593730412915,-0.7912549811806691,49.21392990915608
9000,20890,432,48,1.6612646702752316,1.3068435524721813,-0.28393737899072724,1611.63026571557,1631.6497010511027,6.192329901010725,45.73510488449413
4360,18330,432,48,1.2530148570645938,1.0177323147230897,-0.22729168723262405,1501.1737500893623,1521.193185424895,0.3123264187484635,43.480069695755674
6120,24410,432,48,1.6686359203122254,1.3395836318413048,-0.4509673118722322,1594.591747749575,1614.6111830851078,2.500294175919252,48.9670668704694
11640,23610,432,48,1.6618982823214246,1.3682288532071893,0.2715540175054042,1704.9170497339585,1724.9364850694913,9.905705579138834,48.00371056945916
4040,17610,432,48,1.573326246419395,1.2486981665747994,-0.03838738245837799,1603.7204263785434,1623.7398617140761,-0.05537817161646453,42.82536392616437
10200,22650,432,48,1.5554926511188198,1.2309275338976344,0.011440121649640145,1667.2646175545137,1687.2840528900465,7.8899210217463605,47.25119171494113
