LAMBX,LAMBY,train_n,test_n,rmse,mae,bias,aic,bic
3880,19850,432,48,1.3486069552544948,1.1072241221697405,-0.4270698951251524,1541.723406376534,1561.7428417120668
7160,24250,432,48,1.4795111962971337,1.172159125037214,-0.19239694419477174,1613.2111173575368,1633.2305526930695
4280,23850,432,48,1.4345179363226284,1.1455422996943343,-0.44485942573276266,1545.3752022341846,1565.3946375697174
7240,20330,432,48,1.418871166728184,1.123571220235349,-0.1932697895561951,1571.9002851496336,1591.9197204851664
8040,24410,432,48,1.494772581890642,1.172499802878557,0.2030829077657593,1644.2620170068926,1664.2814523424254
9480,18810,432,48,1.7355314850725045,1.3580258585126168,0.6555705518022016,1476.928707708199,1496.9481430437318
6760,23530,432,48,1.4048501947465863,1.1229861337015072,-0.033817104576951196,1607.03003399859,1627.0494693341227
9400,18650,432,48,1.3426273847616454,1.0847783827508561,-0.18877419803685566,1435.824983142557,1455.8444184780897
8840,21610,432,48,1.6985023754599549,1.3924761260195864,-0.1940118415322307,1651.4890402532699,1671.5084755888026
6600,23050,432,48,1.3991462325837831,1.140355445499875,-0.042846656444082726,1627.6929655647505,1647.7124009002832
8920,20890,432,48,1.4917135557502585,1.2078943037313703,-0.08634162413452935,1597.5779667392158,1617.5974020747485
11640,17610,432,48,1.0964403860716567,0.8824857583820384,0.01781273328192523,1320.3829310660167,1340.4023664015494
9240,22250,432,48,1.6117145296622981,1.2798222911038541,0.09517744215484399,1657.0580595981025,1677.0774949336353
6520,20810,432,48,1.571069352148254,1.2421779340552819,-0.25101913764322864,1631.5313027297657,1651.5507380652984
8280,18330,432,48,1.3760602199087348,1.1520785748323623,-0.5250119253011295,1441.4866903327768,1461.5061256683096
4760,19370,432,48,1.4780687524834983,1.2266957197751271,-0.649702047584182,1518.1845866631465,1538.2040219986793
10680,22010,432,48,1.7966513530412216,1.4218899822073414,-0.3299564854299683,1641.8316638442461,1661.8510991797789
6520,24570,432,48,1.5147286043923363,1.213178591662736,-0.24345748676508094,1595.9776047917644,1615.9970401272972
5480,20250,432,48,1.5078224616965517,1.2509827941384233,-0.28013266645041507,1582.0708965912165,1602.0903319267493
9720,21530,432,48,1.9068769074261736,1.5151723376298787,-0.5711838069496266,1639.528800863005,1659.5482361985378
3640,20170,432,48,1.268985257621942,1.0435855808946253,-0.3786306299509592,1485.1553662348754,1505.1748015704081
5960,18890,432,48,1.6189661390754937,1.329797064456585,-0.27263395841243654,1590.275394169431,1610.2948295049637
