model,order,seasonal_order,train_ratio,train_n,test_n,rmse,mae,aic,bic
"ARIMA(1,0,1)","(1,0,1)","(0,0,0,0)",0.8,475,5,4.5132968447019035,3.763415690932068,2134.2804828361823,2146.7577690016583
"SARIMA(1,0,1)(1,0,1,12)","(1,0,1)","(1,0,1,12)",0.8,475,5,0.5061895188332365,0.4460465213745966,1500.3080423577403,1520.9750325727236
