Model,MAE,RMSE,R2,Bias
Naive_T_lag_1,2.9623779122212195,3.562289045472201,0.6868380044337334,0.00553263709602165
Naive_T_lag_12,1.8059298759940692,2.2788196241782845,0.8718464495649971,0.04337920049353531
XGBoost,1.4226543846582962,1.799813102950451,0.9200597394229058,0.17141760927007044
