year,MAE,RMSE,R2,Bias
2000,1.1337875648834157,1.4199620130346207,0.9408215508054864,0.23249998746365697
2001,1.3474250638619163,1.7540970479935027,0.9246790812841927,-0.39971720825676327
2002,1.4458811398445315,1.7750400286843304,0.8893075615475717,0.6058375627426853
2003,1.961841145619264,2.3871718190083397,0.8953824860668913,0.24028516643091508
2004,1.0674631107868149,1.3145325243513208,0.9574126525924656,-0.28711772143961006
2005,1.3598876293824418,1.7092340448587882,0.9401088019514736,-0.008178362087678984
2006,1.7369113061650725,2.063956108105703,0.9138453135409362,0.568269946743838
2007,1.5729828103127392,1.8936501944158792,0.8854442472212394,-0.2475252289384308
2008,1.2494907772586372,1.5269605061545033,0.9320040719594906,-0.10501815605026418
2009,1.1355703489020408,1.4555729114434472,0.953070250778073,0.5193698548761457
2010,1.4811352348813465,1.7399095928362884,0.9371592588877129,-0.7222869549453736
2011,1.7901042367342461,2.2160101213486096,0.8499181583980557,1.1397111540964675
2012,1.5222825134723834,2.2774713446617545,0.876260922410491,-0.1866092141003422
2013,1.3864598366983942,1.8694825572826073,0.9225086936614163,-0.3496411280934632
2014,1.5393150490805083,1.8315745796263336,0.8886274555990982,0.6574913721436817
2015,1.8195072081116186,2.195123963793255,0.8752427306718599,0.5385367463105631
2016,1.0304700617154554,1.3439753126683176,0.9530957379508852,-0.28528601737414305
2017,1.537941719114913,1.8882725397670177,0.9176490195068193,0.3342732544970502
2018,1.682733680857304,2.01980294907773,0.9092348701150027,0.7075952867998044
2019,1.2692755903800388,1.619503813825002,0.935753337536269,-0.18714194706145953
2020,1.2264623996214075,1.509937655730914,0.933202203922334,0.31274675236022587
2021,1.6528856248300772,1.9891216866314896,0.8935847256029669,-0.4047927429144737
2022,1.5731428833327838,1.8628873614137202,0.9233111198432578,1.0545694527677563
2023,1.2438085131024295,1.6092867834021747,0.9374295720034442,0.2459082592959558
2024,0.8403649332610303,1.0815986076604034,0.9650436587199088,-0.008764390833428325
2025,1.3818836189048942,1.7322159680411806,0.9246729585878543,0.4918421165885162
