patch_size,patch_label,seed,number_of_parameters,number_of_test_sequences,best_epoch,best_validation_loss,MAE_C,RMSE_C,BIAS_C,R2,duration_seconds
1,1x1,41,266305,2162,49,0.0834842304915038,1.5280552358124457,1.9309059144684984,-0.16769518772834546,0.9138452235472921,102.22668254747987
1,1x1,42,266305,2162,56,0.08324369458910053,1.5242956977106707,1.927719791055719,-0.15020920831113915,0.9141293112150389,120.22668343875557
1,1x1,43,266305,2162,65,0.08315155362431952,1.5217629614855601,1.9221605834757443,-0.12184462979587551,0.9146238692477981,129.90870586317033
3,3x3,41,266305,2162,29,0.0816261850121616,1.5030418679628188,1.9049014278873804,-0.1796578525063288,0.9161501772369188,81.24215140938759
3,3x3,42,266305,2162,33,0.0817841566247501,1.4976804419648968,1.8956443922244937,-0.10826309360253601,0.9169631482183629,90.5084387017414
3,3x3,43,266305,2162,47,0.08216357881040388,1.5067251606411012,1.9031625953943287,-0.221363665989215,0.9163031869929805,113.46463494282216
5,5x5,41,266305,2162,32,0.08195779087476188,1.499322443731839,1.8975185731173936,-0.06539552306599578,0.9167988737229418,93.81811881158501
5,5x5,42,266305,2162,40,0.08191567867277177,1.500414818993991,1.9018291137033951,-0.11828889436571825,0.9164204329581643,107.41302043944597
5,5x5,43,266305,2162,28,0.08172000806014994,1.4929911327185617,1.8963036359987422,-0.09898891171076914,0.916905383115941,86.7576775085181
