patch_size,patch_label,number_of_parameters,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,BIAS_mean,duration_mean,MAE_improvement_vs_1x1_percent,RMSE_improvement_vs_1x1_percent
1,1x1,266305,1.524704631669559,0.0031660068364177912,1.9269287629999872,0.004426002438083645,0.9141994680033765,0.0003940352305841536,-0.14658300861178672,117.45402394980192,0.0,0.0
3,3x3,266305,1.5024824901896057,0.004548231700649556,1.9012361385020675,0.004920020775799083,0.9164721708160873,0.00043202673935924664,-0.16976153736602662,95.07174168465038,1.457471894449479,1.333345839828528
5,5x5,266305,1.497576131814797,0.004008114701789545,1.8985504409398437,0.0029036682607367853,0.916708229932349,0.00025486542814136216,-0.09422444304749439,95.99627225318302,1.7792626382367585,1.4727229467456782
