center_index,LAMBX,LAMBY,persistence_MAE_C,persistence_RMSE_C,convlstm_MAE_C,convlstm_RMSE_C,convlstm_BIAS_C,convlstm_R2,MAE_improvement_percent,RMSE_improvement_percent
8731,9640,18570,1.1388065814971924,1.521749496459961,1.1612554788589478,1.5115495920181274,-0.4180590808391571,0.9380763173103333,-1.9712651583240532,0.6702748688638628
8811,9720,18570,1.074838161468506,1.4510418176651,1.0816283226013184,1.4171555042266846,-0.3966274559497833,0.9450790286064148,-0.631738002634312,2.335309225818361
8883,9800,18570,1.0801111459732056,1.4554024934768677,1.0859808921813965,1.4247554540634155,-0.3984736502170563,0.9445233345031738,-0.5434390923632344,2.10574322572708
8884,9800,18650,1.1364940404891968,1.5199369192123413,1.1583553552627563,1.509274125099182,-0.4178892374038696,0.9382485151290894,-1.9235749590160196,0.7015287265135208
9010,9960,18650,0.9020814299583436,1.218799352645874,0.9095014333724976,1.2019309997558594,-0.3470181226730346,0.9566685557365416,-0.8225425297244723,1.3840139357963543
9068,10040,18650,0.895837128162384,1.2121036052703855,0.9044709801673888,1.1978790760040283,-0.3489935994148254,0.956749439239502,-0.963774745830792,1.173540710918382
9070,10040,18810,1.1951433420181274,1.5719250440597534,1.195928931236267,1.534159541130066,-0.3232467174530029,0.937756896018982,-0.0657317988997953,2.4025002383161933
9815,11720,17690,1.128491997718811,1.508639931678772,1.130372166633606,1.4728623628616333,-0.4127894639968872,0.935867190361023,-0.1666089718487669,2.3715114565028386
9879,11880,17130,0.9228954911231996,1.291043996810913,0.9266322255134584,1.2388567924499512,-0.2977187633514404,0.954359531402588,-0.4048924744134397,4.042248326925552
9884,11880,17530,0.8771045804023743,1.2282953262329102,0.8957255482673645,1.2018152475357056,-0.3105208575725555,0.9548177123069764,-2.123004289459737,2.1558397342776683
9885,11880,17610,0.8736817240715027,1.2212711572647097,0.8937340974807739,1.19770085811615,-0.3121538460254669,0.9548315405845642,-2.2951577052366203,1.9299808243527303
9888,11960,17130,0.8771045207977295,1.2291197776794434,0.8982492089271545,1.2035837173461914,-0.3108215034008026,0.9546601176261902,-2.4107375606950336,2.077589246953913
9889,11960,17210,0.8776595592498779,1.2279865741729736,0.8947640061378479,1.1991817951202393,-0.3100138902664184,0.9550442695617676,-1.948870345876353,2.345691692283677
9890,11960,17290,0.8776595592498779,1.2279865741729736,0.8947640061378479,1.1991817951202393,-0.3100138902664184,0.9550442695617676,-1.948870345876353,2.345691692283677
9891,11960,17450,0.8736817240715027,1.2212711572647097,0.8937340974807739,1.19770085811615,-0.3121538460254669,0.9548315405845642,-2.2951577052366203,1.9299808243527303
