center_index,LAMBX,LAMBY,persistence_MAE_C,persistence_RMSE_C,MAE_1x1,RMSE_1x1,BIAS_1x1,R2_1x1,MAE_gain_1x1,RMSE_gain_1x1,MAE_5x5,RMSE_5x5,BIAS_5x5,R2_5x5,MAE_gain_5x5,RMSE_gain_5x5,existing_cells_5x5,complete_5x5,MAE_delta_5x5_minus_1x1,RMSE_delta_5x5_minus_1x1,five_x_five_better_MAE,five_x_five_better_RMSE,not_improved_1x1,not_improved_5x5
8731,9640,18570,1.1388065814971924,1.521749496459961,1.1612554788589478,1.5115495920181274,-0.4180590808391571,0.9380763173103333,-1.9712651583240532,0.6702748688638628,1.215865640702014,1.5211686075238366,-0.6915689057271641,0.9372857231597246,-6.766642649820684,0.0381758202069782,24,False,0.05461016184306633,0.009619015505709205,False,False,True,True
8811,9720,18570,1.074838161468506,1.4510418176651,1.0816283226013184,1.4171555042266846,-0.3966274559497833,0.9450790286064148,-0.631738002634312,2.335309225818361,1.1489159569047758,1.45027208537414,-0.6978694728741923,0.9424821820725954,-6.89199612095306,0.0530580181485872,23,False,0.06728763430345741,0.033116581147455415,False,False,True,True
8884,9800,18650,1.1364940404891968,1.5199369192123413,1.1583553552627563,1.509274125099182,-0.4178892374038696,0.9382485151290894,-1.9235749590160196,0.7015287265135208,1.1434554771402166,1.4599880132093312,-0.5112905458208591,0.9422156449960272,-0.6125449880769238,3.944171983429456,23,False,-0.01489987812253979,-0.04928611188985066,True,True,True,True
9068,10040,18650,0.895837128162384,1.2121036052703855,0.9044709801673888,1.1978790760040283,-0.3489935994148254,0.956749439239502,-0.963774745830792,1.173540710918382,1.141869508812099,1.4350936849063274,-0.7072899542287143,0.9379236264145115,-27.463953671644504,-18.396945035534014,14,False,0.23739852864471012,0.23721460890229906,False,False,True,True
9815,11720,17690,1.128491997718811,1.508639931678772,1.130372166633606,1.4728623628616333,-0.4127894639968872,0.935867190361023,-0.1666089718487669,2.3715114565028386,1.4455188818269036,1.7696497474136077,-1.077990190504217,0.9074171495194258,-28.09296141861344,-17.301000007622328,18,False,0.3151467151932976,0.2967873845519744,False,False,True,True
9879,11880,17130,0.9228954911231996,1.291043996810913,0.9266322255134584,1.2388567924499512,-0.2977187633514404,0.954359531402588,-0.4048924744134397,4.042248326925552,0.9400114011808636,1.2250293553817682,-0.4283866211840888,0.955372691827189,-1.8545878739263968,5.113279045017403,20,False,0.013379175667405208,-0.013827437068183013,False,True,True,True
9884,11880,17530,0.8771045804023743,1.2282953262329102,0.8957255482673645,1.2018152475357056,-0.3105208575725555,0.9548177123069764,-2.123004289459737,2.1558397342776683,1.1513818463829246,1.4201933712124624,-0.8262091221134493,0.9369059721349128,-31.27076717233464,-15.62311609598826,15,False,0.2556562981155601,0.2183781236767568,False,False,True,True
9885,11880,17610,0.8736817240715027,1.2212711572647097,0.8937340974807739,1.19770085811615,-0.3121538460254669,0.9548315405845642,-2.2951577052366203,1.9299808243527303,0.9934464277325682,1.2532807383675677,-0.6144672150307513,0.9505421566860204,-13.708042232183072,-2.621002803311901,14,False,0.09971233025179427,0.0555798802514178,False,False,True,True
9888,11960,17130,0.8771045207977295,1.2291197776794434,0.8982492089271545,1.2035837173461914,-0.3108215034008026,0.9546601176261902,-2.4107375606950336,2.077589246953913,0.9893053038929702,1.253386331028447,-0.558123991734225,0.9508302823908342,-12.792176678992632,-1.9743024866061285,15,False,0.09105609496581568,0.04980261368225558,False,False,True,True
9889,11960,17210,0.8776595592498779,1.2279865741729736,0.8947640061378479,1.1991817951202393,-0.3100138902664184,0.9550442695617676,-1.948870345876353,2.345691692283677,1.0178690159574468,1.2858356241962838,-0.610599997747176,0.948312446851128,-15.975373192167307,-4.710885617836243,14,False,0.12310500981959893,0.08665382907604458,False,False,True,True
9890,11960,17290,0.8776595592498779,1.2279865741729736,0.8947640061378479,1.1991817951202393,-0.3100138902664184,0.9550442695617676,-1.948870345876353,2.345691692283677,0.929539351414796,1.206324719463811,-0.4438309470996274,0.9545071106669288,-5.911145232897999,1.7640145125879916,14,False,0.034775345276948144,0.007142924343571666,False,False,True,True
9891,11960,17450,0.8736817240715027,1.2212711572647097,0.8937340974807739,1.19770085811615,-0.3121538460254669,0.9548315405845642,-2.2951577052366203,1.9299808243527303,0.9434934363775404,1.213852386889831,-0.4475427551692994,0.9536051048567336,-7.990515154668199,0.607465363203641,12,False,0.049759338896766425,0.01615152877368109,False,False,True,True
