feature_set,number_of_features,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,BIAS_mean,duration_mean
temperature_family,5,1.1044218998208224,0.003055873058670632,1.437871024540603,0.007439403875507655,0.8734788818585807,0.0013103723957056353,-0.09287282989012619,6.958162885469695
full,14,1.1398385609883495,0.029619390902683895,1.4769929117488196,0.0343936924290894,0.8664545184198748,0.006199127678701547,-0.1450368658907429,6.192236627141635
t_calendar,3,1.1487836709847394,0.0033917513611651058,1.508902923034718,0.0022065736240810298,0.8606719285593304,0.00040760680904303523,-0.08678459657991959,6.632550909183919
t_only,1,1.1575929000353395,0.0042264692310567484,1.5261929724029566,0.006438482682511204,0.8574591125103813,0.0012016795437693468,-0.017927755884575763,5.701130207628012
meteo_core,9,1.1581399956125924,0.017649447025430892,1.5136464336435964,0.017485465171307727,0.8597822720507841,0.003250009765068616,-0.10130083829283971,6.17513466005524
full_without_extremes,12,1.1661187229868146,0.013731746019060905,1.5236247519535755,0.0210075079222713,0.8579221151504003,0.003931147729679245,-0.12475038346706112,6.1300105002398295
