center_index,LAMBX,LAMBY,persistence_MAE_C,persistence_RMSE_C,MAE_1x1,RMSE_1x1,BIAS_1x1,R2_1x1,MAE_gain_1x1,RMSE_gain_1x1,MAE_5x5,RMSE_5x5,BIAS_5x5,R2_5x5,MAE_gain_5x5,RMSE_gain_5x5,existing_cells_5x5,complete_5x5,MAE_delta_5x5_minus_1x1,RMSE_delta_5x5_minus_1x1,five_x_five_better_MAE,five_x_five_better_RMSE,not_improved_1x1,not_improved_5x5
318,2440,22010,1.4703978300094604,1.9543519020080569,1.292668104171753,1.6930056810379028,-0.1521522253751754,0.9026119112968444,12.087186352591669,13.372526242670316,1.488998949472602,1.9395834696016396,-0.0786128330848263,0.8721779087405275,-1.2650404545093563,0.7556667378806343,3,False,0.196330845300849,0.2465777885637368,False,False,False,True
531,2920,24410,1.5563366413116455,2.0207481384277344,1.339848875999451,1.746158480644226,-0.1173942014575004,0.8829419612884521,13.910086003613191,13.588514697193082,1.5931046633230768,2.0279536975820585,0.0925676427871181,0.8421116636374922,-2.362467148119061,-0.3565802549257487,1,False,0.25325578732362586,0.2817952169378324,False,False,False,True
5257,6680,17130,1.318362593650818,1.7310236692428589,1.2073233127593994,1.570567965507507,-0.3502269089221954,0.9209367632865906,8.422514521132445,9.269411307676346,1.3205076318223867,1.6767014087252163,-0.3641969114404161,0.9098900844172322,-0.1627074265670056,3.1381594351751505,7,False,0.11318431906298732,0.10613344321770923,False,False,False,True
7208,8280,18410,1.3288158178329468,1.7629828453063965,1.250177025794983,1.6045255661010742,-0.2940694093704223,0.9429886341094972,5.91796026075376,8.988021615025033,1.3391976440316764,1.682313021543567,-0.5646088553401302,0.937326754721271,-0.7812793365483187,4.575753943928378,25,True,0.0890206182366935,0.07778745544249288,False,False,False,True
7753,8760,18010,1.0772433280944824,1.4454176425933838,1.0654042959213257,1.3857890367507937,-0.3990731537342071,0.9421886205673218,1.0990118819393018,4.125354782276218,1.0776998218179965,1.375069097185169,-0.42038587769571,0.9430795998647528,-0.0423708167540479,4.867003351118306,17,False,0.012295525896670823,-0.010719939565624781,False,True,False,True
7949,8920,19130,1.3409805297851562,1.7746883630752563,1.2428878545761108,1.6099343299865725,-0.1736138463020324,0.944575309753418,7.314996230762666,9.283547270417168,1.3643419122828255,1.7045654440108116,-0.4865710022932506,0.937868144223029,-1.7421093054982617,3.951279623403324,25,True,0.12145405770671469,0.09463111402423907,False,False,False,True
8132,9080,19290,1.414431095123291,1.8500018119812007,1.2913920879364014,1.6909120082855225,0.2656897008419037,0.9360402822494508,8.698833588366831,8.599440425699179,1.4277032928043334,1.8304036348817143,-0.1283211985966544,0.9250523152039574,-0.9383406617100974,1.0593621872295411,25,True,0.13631120486793202,0.13949162659619185,False,False,False,True
8648,9560,18570,1.219148874282837,1.592195987701416,1.1831622123718262,1.5308468341827393,-0.3954194486141205,0.9399697780609132,2.9517856818085373,3.85311569634363,1.254285983527622,1.5743232481318783,-0.6725084550065314,0.9365116349983686,-2.8820920918535733,1.122516002998036,25,True,0.07112377115579593,0.04347641394913904,False,False,False,True
8756,9640,20810,2.014014720916748,2.644599914550781,1.769194722175598,2.3624379634857178,0.3424105048179626,0.8654664754867554,12.155819726566431,10.669362481356362,2.1778087351302324,2.753076491837673,-1.0488757751916538,0.8172967966199991,-8.132714685408162,-4.101817022057704,13,False,0.4086140129546345,0.3906385283519551,False,False,False,True
8809,9720,18410,1.0632284879684448,1.4422509670257568,1.0477304458618164,1.3804885149002075,-0.3880503475666046,0.9477864503860474,1.4576398471264795,4.282365104106484,1.1448546382258271,1.4664685330731904,-0.4846731198264095,0.9410799669544238,-7.677197160581438,-1.679148927494324,16,False,0.09712419236401071,0.08598001817298284,False,False,False,True
8824,9720,19930,1.5686863660812378,2.0598413944244385,1.434773087501526,1.905168294906616,0.405863344669342,0.9133976697921752,8.536650886706115,7.508981028174796,1.706265176919519,2.1771910809459203,-0.4172496636855613,0.886901757119086,-8.770323209919209,-5.697029554591327,11,False,0.27149208941799285,0.2720227860393043,False,False,False,True
8896,9800,20570,1.7612396478652954,2.3190159797668457,1.5418040752410889,2.070091962814331,0.3721969723701477,0.8999159932136536,12.459154714701812,10.734036294891832,1.933782783952937,2.4390653642188305,-0.9723950120500676,0.8610583991042968,-9.796694320561338,-5.176737028618465,12,False,0.39197870871184803,0.3689734014044994,False,False,False,True
8949,9880,18490,1.0727567672729492,1.457760214805603,1.046901822090149,1.3820022344589231,-0.386154294013977,0.9476984739303588,2.410140487719881,5.196875286981423,1.1210547455144524,1.4354344338114853,-0.436668151622564,0.9435760025918218,-4.502233810881082,1.5315060906239704,12,False,0.07415292342430346,0.05343219935256216,False,False,False,True
8950,9880,18570,1.069056510925293,1.453374981880188,1.0478397607803345,1.382475972175598,-0.3869666159152984,0.9476478099822998,1.984623818117427,4.878232430619516,1.0893280989146696,1.411672711153597,-0.4441926393323646,0.9454131671487342,-1.8962165644926117,2.869335983569011,17,False,0.04148833813433517,0.029196738977999015,False,False,False,True
8951,9880,18650,0.9269657731056212,1.2475897073745728,0.9228535890579224,1.2174018621444702,-0.3387329578399658,0.9561338424682616,0.4436176789917376,2.419693353645072,1.0402589951479029,1.29598497707684,-0.6763634412626113,0.9502879847729988,-12.221948887279328,-3.8790995725440665,21,False,0.11740540608998051,0.07858311493236969,False,False,False,True
8953,9880,18810,1.187095284461975,1.5668439865112305,1.1712100505828855,1.518969178199768,-0.3550842702388763,0.937437117099762,1.3381599680339888,3.055492998895283,1.2729692344418506,1.59213012380602,-0.7091148369407124,0.9312652285238504,-7.233960623475866,-1.6138266349202066,25,True,0.1017591838589651,0.07316094560625186,False,False,False,True
9014,9960,18970,1.282331109046936,1.6764875650405884,1.2202290296554563,1.5787913799285889,-0.1966505944728851,0.9341524839401244,4.842905155567463,5.82743273193525,1.298786879688584,1.617229461176681,-0.5693812462932858,0.93090715207957,-1.2832611414790045,3.534657775848991,25,True,0.07855785003312765,0.038438081248092226,False,False,False,True
9122,10120,18730,0.929648458957672,1.2522412538528442,0.9255416393280028,1.2224857807159424,-0.339346170425415,0.955819606781006,0.4417604945286288,2.376177357625892,0.9476363881664294,1.2230858553286428,-0.2939346729881999,0.9557762214428082,-1.9349152636151052,2.3282600930427853,13,False,0.022094748838426548,0.0006000746127003964,False,False,False,True
9173,10200,18810,1.0363552570343018,1.3807718753814695,1.0204201936721802,1.331942796707153,-0.3311856389045715,0.9495928287506104,1.5376062652224436,3.536361041596843,1.0895589533831431,1.3832118853107942,-0.4808228728288197,0.9456375854755552,-5.133727501438537,-0.1767120953594035,13,False,0.06913875971096295,0.0512690886036411,False,False,False,True
9176,10200,19050,1.3349676132202148,1.7419300079345703,1.259924292564392,1.632367730140686,-0.1477755159139633,0.9303825497627258,5.621358893853831,6.2897060900738335,1.3410738963533837,1.6724332681604674,-0.5451325232182025,0.9269231951910843,-0.4574152958070639,3.9896356925615386,19,False,0.08114960378899161,0.04006553801978141,False,False,False,True
