center_index,LAMBX,LAMBY,existing_cells_5x5,complete_5x5,persistence_MAE_C,persistence_RMSE_C,convlstm_MAE_C,convlstm_RMSE_C,convlstm_BIAS_C,convlstm_R2,MAE_improvement_percent,RMSE_improvement_percent
33,1000,24170,19,False,1.2097132256690493,1.596379387156253,1.067137366196935,1.394189929980649,-0.13515806242230863,0.8810865616156236,11.785922187736737,12.665501622128735
34,1000,24250,14,False,1.2150324240092543,1.6008280313269794,1.0808914918573116,1.4048499122485838,-0.05532348519888992,0.8791539181337884,11.040111317302673,12.242296814102062
35,1080,23290,11,False,1.3508325765576217,1.7680783285746413,1.1656658797215578,1.5234329089286,0.11684024080317071,0.8960074116450556,13.707597821480682,13.83679759500617
36,1080,23370,16,False,1.3421369159144456,1.7558874220110663,1.1603596534693714,1.5081370949886492,0.1436072518492495,0.8975978991790088,13.543868758070996,14.109693133894757
37,1080,23450,21,False,1.4023589311541504,1.8306605884187646,1.216197018266055,1.5674534246175835,0.14122087243086315,0.8936728489911718,13.274911918226449,14.377715097287727
38,1080,23530,22,False,1.3816374603186792,1.8065368632618295,1.1688027112821426,1.523901511367,-0.004196049657604631,0.8984571214528413,15.4045294188423,15.645147222986164
39,1080,23610,23,False,1.3881590893486933,1.8140575194536825,1.1789521491715027,1.528704925877459,0.04440008656610282,0.89822128054952,15.07081873990018,15.730074185418315
40,1080,23690,24,False,1.2223867157010653,1.6112262185085948,1.0994481625764265,1.427105793669867,-0.18733632090354163,0.8909273174731893,10.057255330538407,11.427347862372539
41,1080,23770,24,False,1.1979186404754893,1.5867964917776742,1.093603312362685,1.421542613614544,-0.17103593598682498,0.8898098650788716,8.708047824633447,10.414308263184893
42,1080,23850,24,False,1.206429170084485,1.5943485194891895,1.0762390856606117,1.39924774316031,-0.10385674045220444,0.8941710328543357,10.79135747478289,12.237021827033617
43,1080,23930,25,True,1.2216002811004893,1.6102513635658808,1.100287600648723,1.4355427341581144,-0.2330155844604605,0.8894566606159267,9.930636258734385,10.849773728548595
44,1080,24010,25,True,1.312395863352166,1.7168506982022984,1.1415544592815896,1.4805579562880928,-0.07678510964082194,0.8858218177150945,13.017520768025545,13.763150293827293
45,1080,24090,25,True,1.3097594805496033,1.7151566641314089,1.151583548941952,1.4933016568156505,-0.11691144083959984,0.8837496419288955,12.076715912854274,12.934970428961389
46,1080,24170,21,False,1.2087419494007827,1.5958390000588258,1.0719759056239522,1.399534534798666,-0.20039857481498613,0.8802962203071226,11.31474288988071,12.301019416928876
47,1080,24250,16,False,1.2159574722163,1.6033686146854877,1.0602288188810816,1.3898800407423886,-0.1463767130213904,0.8817265515358169,12.80708058410753,13.315002675475002
48,1160,23290,13,False,1.3515726419425915,1.7687922678414907,1.1373293768135515,1.4993509305135688,-0.021830912545033894,0.8993022442648644,15.851405871985687,15.233068474271942
49,1160,23370,18,False,1.3500000409347717,1.7662251474084572,1.1345850109061524,1.497604193019098,0.028280743396910776,0.8993999213410149,15.956668407169891,15.208760603567486
50,1160,23450,23,False,1.3315448884496415,1.743864543740094,1.1271504729462376,1.482880880996981,-0.02967195925505265,0.9005190856407488,15.350170863663976,14.965821954460823
51,1160,23530,25,True,1.389269282705358,1.8147076573989505,1.177538163346565,1.5375532624338881,-0.08025339640035992,0.8971488477204147,15.24046648080234,15.272674572956406
52,1160,23610,25,True,1.378769661958961,1.8043976494958085,1.1748041228824584,1.5312806088785127,-0.04643269979104634,0.8972215644550736,14.793300484049492,15.136189115166003
53,1160,23690,25,True,1.4173450522903597,1.8547449208007347,1.1884839448743567,1.5415249085917817,-0.010807774002964468,0.8918672566642519,16.147169459277027,16.887498043328186
54,1160,23770,25,True,1.4097131381533303,1.844297624483988,1.184562273757751,1.53385552353756,0.02778820634219075,0.8923049151042319,15.971395761446773,16.832538134038206
55,1160,23850,25,True,1.4340425009643667,1.8748764726692926,1.1991019870923914,1.5514238922452164,-0.03995685242150913,0.8914242952812191,16.383092810288556,17.251940868593408
56,1160,23930,25,True,1.3161887593229649,1.7223379084204358,1.1440145614299368,1.4815478696980777,-0.09821997826900006,0.8857676770774041,13.08126943597306,13.980417985643
57,1160,24010,25,True,1.3002774276521667,1.7066231302803891,1.1397931630913578,1.4787272043499013,-0.06896753690509637,0.8857483539852763,12.34230950625558,13.353617555449732
58,1160,24090,25,True,1.309667059715758,1.7148841817983762,1.1563631070090266,1.4987020461359972,-0.13016341506718046,0.8829135259575541,11.705566813294029,12.606223671366054
59,1160,24170,22,False,1.2085569806941454,1.597142755918025,1.08044530284504,1.4090103283713027,-0.17115192078088412,0.8788073846185057,10.600383754808425,11.779311952523942
60,1160,24250,17,False,1.2148473423791086,1.6020901591655219,1.057248781611807,1.386346590699287,-0.14750738258608836,0.8823581227107883,12.972704904524619,13.466381229044499
61,1240,23370,18,False,1.345374637572,1.760638363204218,1.1361785168784508,1.4946600348163583,0.01039726970153865,0.899608624238574,15.549283809235895,15.106925643935236
62,1240,23450,23,False,1.330434779785608,1.7432597671326076,1.144276042871184,1.5021525326226477,-0.03514468945583516,0.897801407900159,13.992323392539571,13.83082653863709
63,1240,23530,25,True,1.394079570082136,1.8193354542867268,1.186071185906875,1.5466515413154143,-0.12978217648092405,0.8961434943278318,14.920840147094726,14.988105262765776
64,1240,23610,25,True,1.3786771423170459,1.8039900356737166,1.1781235235251286,1.5360899681635036,-0.09370303793597508,0.8966897684253228,14.54681539543485,14.850418362214693
65,1240,23690,25,True,1.452960138735564,1.8955873981078075,1.2311380688070037,1.5950069408230274,-0.05921890689309938,0.8949191808406498,15.26690677981025,15.856850366531358
66,1240,23770,25,True,1.4318224812524392,1.8716518021828985,1.2032637547608551,1.564268131539949,-0.09992340469007466,0.8894635526723402,15.962783758756174,16.4231226280684
67,1240,23850,25,True,1.5437557633335561,2.0041999933645105,1.3291599227806465,1.6983923705539874,-0.049272227574012326,0.8857052609536613,13.900893240360478,15.258338679921591
68,1240,23930,25,True,1.5199353326591047,1.975119287362385,1.3098809862445615,1.6726282264226922,0.008063987269652982,0.8879533666227254,13.81995285595843,15.31507807529163
69,1240,24010,25,True,1.2990286277467513,1.706667813641971,1.1412451053305317,1.4823293230385288,-0.11932600481878487,0.8852166719721173,12.146269839326427,13.144824599739273
70,1240,24090,25,True,1.306845531763576,1.712072789391693,1.1534552843233261,1.4975637011828387,-0.1478947455082416,0.8830458420504562,11.737442850896942,12.529203754536061
71,1240,24170,23,False,1.2094357796668125,1.6001733768899347,1.087139408418583,1.417382242744223,-0.17123033027754792,0.8775562107583118,10.111853254574697,11.423208058928015
72,1240,24250,18,False,1.2101758097631858,1.5972339607687107,1.0694527992156784,1.4000316315338326,-0.26438013124421833,0.8800539831512486,11.628311309167959,12.346489874280493
73,1240,24330,13,False,1.2252543799641173,1.614443883049145,1.110173206876319,1.4353768350042837,-0.05761916454361061,0.8738959739988896,9.39243107142931,11.091562235453083
74,1320,23370,18,False,1.343061957063772,1.7580145341419948,1.1310658062309384,1.4846751274755823,0.02596770338610738,0.900886285910555,15.78453992519479,15.548188104134008
75,1320,23450,23,False,1.3866327728638486,1.8128728272917831,1.1938381989061777,1.5547761929276054,-0.005951521465008618,0.8946217813091202,13.903794698252172,14.23688581342705
