center_index,LAMBX,LAMBY,persistence_MAE_C,persistence_RMSE_C,convlstm_MAE_C,convlstm_RMSE_C,convlstm_BIAS_C,convlstm_R2,MAE_improvement_percent,RMSE_improvement_percent,T_mean_all_period_C,T_min_all_period_C,T_max_all_period_C,X_m,Y_m,longitude,latitude
8731,9640,18570,1.1388065814971924,1.521749496459961,1.1612554788589478,1.5115495920181274,-0.4180590808391571,0.9380763173103333,-1.9712651583240528,0.6702748688638628,13.25588,-7.4,28.2,964000,1857000,6.84246944447251,43.6209902321366
8811,9720,18570,1.074838161468506,1.4510418176651,1.0816283226013184,1.4171555042266846,-0.3966274559497833,0.9450790286064148,-0.631738002634312,2.335309225818361,13.839605,-6.9,27.8,972000,1857000,6.9412762449486065,43.616825827656776
8883,9800,18570,1.0801111459732056,1.4554024934768677,1.0859808921813965,1.4247554540634155,-0.3984736502170563,0.9445233345031738,-0.5434390923632344,2.10574322572708,13.762886,-7.0,27.8,980000,1857000,7.040068479806136,43.61257120752837
8884,9800,18650,1.1364940404891968,1.5199369192123413,1.1583553552627563,1.509274125099182,-0.4178892374038696,0.9382485151290894,-1.92357495901602,0.7015287265135208,13.265575,-7.4,28.2,980000,1865000,7.045993692441415,43.68434793767162
9010,9960,18650,0.9020814299583436,1.218799352645874,0.9095014333724976,1.2019309997558594,-0.3470181226730346,0.9566685557365416,-0.8225425297244723,1.3840139357963543,15.000794,-3.6,28.9,996000,1865000,7.2437808454529335,43.67555661193022
9068,10040,18650,0.895837128162384,1.2121036052703855,0.9044709801673888,1.1978790760040283,-0.3489935994148254,0.956749439239502,-0.963774745830792,1.173540710918382,15.12479,-3.4,28.9,1004000,1865000,7.3426512519241225,43.67102553461802
9070,10040,18810,1.1951433420181274,1.5719250440597534,1.195928931236267,1.534159541130066,-0.3232467174530029,0.937756896018982,-0.0657317988997953,2.4025002383161933,12.752219,-5.9,28.4,1004000,1881000,7.355291986058232,43.81455443266052
9815,11720,17690,1.128491997718811,1.508639931678772,1.130372166633606,1.4728623628616333,-0.4127894639968872,0.935867190361023,-0.1666089718487669,2.3715114565028386,15.6002035,-1.0,30.2,1172000,1769000,9.309689743972484,42.696022260307245
9879,11880,17130,0.9228954911231996,1.291043996810913,0.9266322255134584,1.2388567924499512,-0.2977187633514404,0.954359531402588,-0.4048924744134397,4.042248326925552,15.144796,-0.8,28.9,1188000,1713000,9.44214421198206,42.18241718306265
9884,11880,17530,0.8771045804023743,1.2282953262329102,0.8957255482673645,1.2018152475357056,-0.3105208575725555,0.9548177123069764,-2.123004289459737,2.1558397342776683,15.730162,-0.6,29.6,1188000,1753000,9.485988100865441,42.54003470296092
9885,11880,17610,0.8736817240715027,1.2212711572647097,0.8937340974807739,1.19770085811615,-0.3121538460254669,0.9548315405845642,-2.2951577052366203,1.9299808243527303,15.807636,-0.6,29.7,1188000,1761000,9.494821710714712,42.611572897604525
9888,11960,17130,0.8771045207977295,1.2291197776794434,0.8982492089271545,1.2035837173461914,-0.3108215034008026,0.9546601176261902,-2.4107375606950336,2.077589246953913,15.736204,-0.6,29.6,1196000,1713000,9.538282016245518,42.17589155849972
9889,11960,17210,0.8776595592498779,1.2279865741729736,0.8947640061378479,1.1991817951202393,-0.3100138902664184,0.9550442695617676,-1.948870345876353,2.345691692283677,15.723235,-0.6,29.6,1196000,1721000,9.547124588556812,42.247396381295374
9890,11960,17290,0.8776595592498779,1.2279865741729736,0.8947640061378479,1.1991817951202393,-0.3100138902664184,0.9550442695617676,-1.948870345876353,2.345691692283677,15.723235,-0.6,29.6,1196000,1729000,9.555988842270985,42.3189063710671
9891,11960,17450,0.8736817240715027,1.2212711572647097,0.8937340974807739,1.19770085811615,-0.3121538460254669,0.9548315405845642,-2.2951577052366203,1.9299808243527303,15.807636,-0.6,29.7,1196000,1745000,9.573782712763272,42.46194142965285
