center_index,LAMBX,LAMBY,existing_cells_5x5,missing_cells_5x5,complete_5x5
198,1880,23850,25,0,True
199,1880,23930,25,0,True
200,1880,24010,25,0,True
201,1880,24090,25,0,True
202,1880,24170,25,0,True
203,1880,24250,25,0,True
204,1880,24330,20,5,False
205,1880,24410,15,10,False
206,1960,22970,17,8,False
207,1960,23050,20,5,False
208,1960,23130,23,2,False
209,1960,23210,24,1,False
210,1960,23290,25,0,True
211,1960,23370,25,0,True
212,1960,23450,25,0,True
213,1960,23530,25,0,True
214,1960,23610,25,0,True
215,1960,23690,25,0,True
216,1960,23770,25,0,True
217,1960,23850,25,0,True
218,1960,23930,25,0,True
219,1960,24010,25,0,True
220,1960,24090,25,0,True
221,1960,24170,25,0,True
222,1960,24250,25,0,True
223,1960,24330,20,5,False
224,1960,24410,15,10,False
225,2040,22730,7,18,False
226,2040,22810,12,13,False
227,2040,22970,19,6,False
228,2040,23050,23,2,False
229,2040,23130,25,0,True
230,2040,23210,25,0,True
231,2040,23290,25,0,True
232,2040,23370,25,0,True
233,2040,23450,25,0,True
234,2040,23530,25,0,True
235,2040,23610,25,0,True
236,2040,23690,25,0,True
237,2040,23770,25,0,True
238,2040,23850,25,0,True
239,2040,23930,25,0,True
240,2040,24010,25,0,True
241,2040,24090,24,1,False
242,2040,24170,23,2,False
243,2040,24250,22,3,False
244,2040,24330,17,8,False
245,2040,24410,12,13,False
246,2120,22890,15,10,False
247,2120,22970,19,6,False
248,2120,23050,23,2,False
249,2120,23130,25,0,True
250,2120,23210,25,0,True
251,2120,23290,25,0,True
252,2120,23370,25,0,True
253,2120,23450,25,0,True
254,2120,23530,25,0,True
255,2120,23610,25,0,True
256,2120,23690,25,0,True
257,2120,23770,25,0,True
258,2120,23850,25,0,True
259,2120,23930,25,0,True
260,2120,24010,24,1,False
261,2120,24090,22,3,False
262,2120,24170,20,5,False
263,2120,24250,18,7,False
264,2120,24330,13,12,False
265,2120,24410,9,16,False
266,2200,22890,18,7,False
267,2200,22970,21,4,False
