LAMBX,LAMBY,model,order,seasonal_order,exog_vars,train_start,train_end,test_start,test_end,train_n,test_n,rmse,mae,bias,aic,bic,coef_ETP,coef_SWI,seasonal_ma_L12,sigma2,ETP_mean,ETP_scale,SWI_mean,SWI_scale,elapsed_seconds
600,24010,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0456581809465924,0.8727596337586254,-0.2972435588267844,1295.621261358477,1311.6565141002475,1.4817259533000238,0.043027424883907546,-0.9181608813494166,1.335488608441832,51.09375,26.744199752807617,0.6773726940155029,0.1896202266216278,0.155
760,23610,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0277739657031257,0.8255159388756423,-0.22814184254233952,1305.5707779056536,1321.606030647424,1.6067493367299044,-0.09392606549290247,-1.0567139691223144,1.21257440929101,50.961570739746094,27.502511978149414,0.6137406826019287,0.26964879035949707,0.163
760,24010,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0827887229061313,0.9005546964941203,-0.36734956700685545,1287.224453896369,1303.2597066381393,1.442010601826907,-0.04939670787657384,-1.0757923107171654,1.1260756889527508,50.64189910888672,26.5188045501709,0.6515810489654541,0.24813231825828552,0.149
840,23850,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.037002567803257,0.8336334802632539,-0.21971271146892216,1307.9394749413052,1323.9747276830756,1.6320851612693354,-0.06386764319194145,-1.060278553496773,1.2131946811836427,50.993751525878906,27.60267448425293,0.6202986240386963,0.207398921251297,0.153
840,24010,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1048642428032607,0.9085503642687834,-0.32265706960944024,1311.3853267623358,1327.4205795041062,1.5549348279289248,-0.008233937996387865,-1.0612881119712811,1.2216744702072582,49.65879440307617,27.123517990112305,0.7043935060501099,0.25193271040916443,0.154
920,23930,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0362824785185514,0.8367608798039536,-0.22699373995184988,1308.8378638893905,1324.8731166311609,1.6265131118805705,-0.04766719412659537,-1.0580453760002901,1.2199291662710108,50.95022964477539,27.60789680480957,0.6513819694519043,0.19002053141593933,0.156
760,23930,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0382865644594652,0.8348787499760632,-0.21981820506657054,1307.8358720224805,1323.871124764251,1.6275052322997992,-0.07941370073611967,-1.0602472176003126,1.2129430636678449,50.970367431640625,27.614206314086914,0.6253518462181091,0.23090609908103943,0.158
840,24090,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1029504641346572,0.9155134329189735,-0.39391974468194596,1283.3806405267155,1299.415893268486,1.4420850633265374,-0.058052067117954326,-1.0702883065144944,1.124978664530232,50.42546463012695,26.44939422607422,0.630231499671936,0.26872149109840393,0.167
920,23770,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.034383718301749,0.8324546186690589,-0.22111765538767228,1307.2521566565417,1323.287409398312,1.6077257618480971,-0.08320193051867077,-1.0585747781194008,1.2142436830831953,50.993751525878906,27.5751895904541,0.6236342191696167,0.2210516333580017,0.168
760,24170,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0492780061324294,0.8795221403873633,-0.31906981939333395,1294.7068246949148,1310.7420774366851,1.4314224003603495,-0.0474735857258481,-0.9194424279386924,1.331962372889315,50.939353942871094,26.719295501708984,0.6486597657203674,0.241159126162529,0.17
