year,MAE,RMSE,R2,Bias
2000,1.1423639797547867,1.421428299144879,0.9406992695909699,0.2699588078931847
2001,1.4613948621156927,1.8811774190504738,0.913370085201611,-0.3515108347261045
2002,1.1947877017635424,1.4285129855711847,0.9283081087377715,0.33388029239731626
2003,1.8900516637724356,2.374767928959839,0.8964668594318463,0.463179997183779
2004,1.1727187385587698,1.4037350539050777,0.9514366979328018,-0.38619990551433847
2005,1.3320956945853082,1.6715726523349044,0.9427190191415397,-0.2240675578416063
2006,1.6000113996332503,1.871805704415339,0.9291402649033008,0.4863527465263184
2007,1.6254043836651921,1.976527531637612,0.8751975456413766,-0.15704188805739872
2008,1.285528154898637,1.5726600525163135,0.927873143074963,-0.3780935233597219
2009,1.3032685000904578,1.6302133886279302,0.9411333643983613,0.22073168851630925
2010,1.304684828685304,1.6145035206886384,0.9458914462547616,-0.6655453581496006
2011,1.5583080552011677,1.8282622550288516,0.897844522696029,0.9286594361682289
2012,1.4292965969342168,2.0019540433134746,0.9043886965644191,-0.06484159783854042
2013,1.707708272625192,2.153058449264085,0.8972168822837775,-0.6963745794801106
2014,1.5136752958048052,1.743885976602082,0.899036337225931,0.7958777258376963
2015,1.7024973103111474,2.015026325121274,0.8948742257874621,0.657201817693389
2016,1.0214136551199227,1.235847021448887,0.9603394113873779,-0.23734538819334214
2017,1.5454899206367718,1.8454404359039913,0.921342618604938,0.2602620388328509
2018,1.5715278580474041,1.969860051870832,0.9136680053012031,0.692748269186104
2019,1.1249288149285464,1.4145579495608447,0.9509851013732088,0.23439378854785314
2020,1.2172926986832984,1.5021030448859216,0.9338935927655444,0.34828082722633763
2021,1.4222373067938492,1.6404365180991083,0.9276230759973887,-0.4676380349636784
2022,1.4892919542604623,1.8614033373176084,0.923433255853369,0.7964241255975311
2023,1.1117603626151455,1.412420006198638,0.9518018956599318,0.5100911694883532
2024,0.942363063437913,1.165168073499611,0.9594331875799929,-0.08353199987215104
2025,1.1226519331660652,1.433727497906375,0.9483963923827162,0.27114294371607484
