Model,MAE,RMSE,R2,Bias
Naive_T_lag_1,2.9623779122212195,3.562289045472201,0.6868380044337334,0.00553263709602165
Naive_T_lag_12,1.8059298759940692,2.2788196241782845,0.8718464495649971,0.04337920049353531
Naive_T_lag_24,1.7378855096581542,2.1879268771302285,0.8818656087396055,0.09753206424253734
XGBoost_Advanced,1.3766443463880493,1.719502993993558,0.9270346594452819,0.13680750026210514
